Joint Angle 1,Joint Angle 2,Correlation
L2A_rot,R1A_flex,-0.3280076177071074
L1A_flex,L2D_flex,0.32720725564193864
L3B_rot,R1A_flex,0.32679912222729124
L3C_flex,R3C_flex,-0.3253870953641142
L3B_rot,R3A_flex,0.32457374178927006
R3A_flex,R3A_rot,0.32314886577033713
L1A_rot,L1C_rot,0.32210620891861547
R3B_rot,R3D_flex,-0.3194064946171148
L3A_flex,R1A_flex,0.3182036749416096
L2D_flex,L3A_flex,0.31707440904391715
L2B_flex,R1C_rot,-0.31514880170677123
L3B_rot,L3D_flex,0.3148444627899715
L2A_rot,L2C_rot,0.31469794819413255
L2D_flex,R1B_rot,-0.3145974732600324
L1D_flex,L2A_flex,0.31408554981409426
L1A_flex,R2D_flex,0.3136819082685243
R1A_abduct,R1D_flex,-0.3135073888757907
L2A_rot,L2B_rot,-0.312821206515442
L3A_rot,R1A_rot,0.3121863170283715
L1B_flex,L2A_flex,0.31210175677512714
L3B_rot,R3B_rot,-0.31181467617871844
L3C_flex,R3B_flex,-0.3110507340185988
L1A_abduct,L2C_rot,-0.3106505279815837
L1A_rot,R1C_flex,0.3104345087217419
R2A_abduct,R2A_flex,0.31033319912742624
L3A_abduct,R3B_rot,0.3097791774437156
L3A_abduct,R3C_rot,-0.30874438623712425
L1B_flex,R2A_abduct,-0.3081627504072297
L1A_rot,R3B_flex,-0.30736199625346305
L2A_flex,R1A_abduct,-0.3070972843887528
L2C_flex,R2C_flex,0.3045463467805182
R1B_flex,R2A_flex,-0.3037530745706151
R2C_rot,R3D_flex,0.30314274714601536
R2C_rot,R3A_flex,0.3021144727775768
L3D_flex,R3A_flex,0.3019238933757706
L3A_flex,R2D_flex,0.30179131506316687
R2B_rot,R3B_rot,0.30083477528034025
L2D_flex,R3C_rot,0.3007132965184213
L3A_rot,R1B_flex,0.30059512930447024
L2B_rot,R1D_flex,0.3004809298717344
L1A_rot,R3C_flex,-0.3002459927558326
