Feature,Joint Angle,Correlation,P-value
x_vel_lag_minus_20,L1B_rot,0.4219030937285147,0.0
x_vel_lag_minus_5,L1B_flex,-0.42177812618548205,0.0
L-M-TaG_r,L1B_flex,0.4213285448898911,0.0
x_vel_lag_minus_3,L1B_rot,0.42127851886978923,0.0
R-H-TaG_r,L2B_flex,0.4203943286304192,0.0
x_vel_ma5,L2B_flex,-0.418848547262066,0.0
x_vel_lag_minus_2,L1B_rot,0.4167867351471494,0.0
x_vel_ma5,L1B_rot,0.4144280090365775,0.0
xy_position,L2B_flex,-0.41366174510662257,0.0
xz_position,L2B_flex,-0.41366174510662257,0.0
L-H-TaG_x,L3A_flex,-0.41344442813701476,0.0
x_vel_lag_plus_10,L1B_rot,0.4122990965087452,0.0
x_vel_lag_minus_1,L1B_rot,0.41228969352303235,0.0
R-F-TaG_r,L2B_flex,0.41095503795878735,0.0
x_vel_lag_plus_5,L1B_rot,0.40993589513923456,0.0
x_vel_ma20,L1B_flex,-0.4097835215101525,0.0
L-F-TaG_x,L1A_abduct,-0.40885216082732856,0.0
L-M-TaG_r,R1B_rot,0.40798392839455044,0.0
R-M-TaG_x,R2B_flex,0.4072610197976582,0.0
L-F-TaG_z,L1A_flex,-0.40689482486976714,0.0
L-H-TaG_z,L3A_flex,-0.4063753629442532,0.0
x_vel_lag_plus_1,L1B_rot,0.40579008142360573,0.0
xy_velocity,L2B_flex,-0.40572469202715217,0.0
x_vel_lag_plus_3,L1B_rot,0.40542169443336057,0.0
R-M-TaG_r,R1B_rot,0.40508065819771966,0.0
x_vel_lag_plus_2,L1B_rot,0.4047790073843097,0.0
x_vel_lag_minus_1,L2B_flex,-0.40341093634742325,0.0
velocity_magnitude,L2B_flex,-0.39853606651550677,0.0
R-F-TaG_y,R1B_flex,0.3982762095875889,0.0
L-M-TaG_x,L2A_rot,0.3977958007874796,0.0
R-F-TaG_z,R1A_flex,-0.3970317886593765,0.0
x_vel_lag_minus_3,L1B_flex,-0.3966335407552524,0.0
xy_velocity,L1B_rot,0.39648599362876413,0.0
L-F-TaG_y,L1B_rot,0.3958913195356368,0.0
x_vel_lag_minus_2,L2B_flex,-0.3954370711631012,0.0
R-M-TaG_x,R2A_flex,-0.3946455287270822,0.0
xz_velocity,L2B_flex,-0.3932223310308586,0.0
R-H-TaG_r,R1B_rot,0.39125087927859015,0.0
x_vel_lag_minus_3,L2B_flex,-0.39002197959331336,0.0
x_vel_lag_minus_5,L2B_flex,-0.38819144450258936,0.0
x_vel_lag_plus_20,L1B_flex,-0.3880244125879871,0.0
R-H-TaG_z,L3A_flex,-0.3877564018035557,0.0
L-F-TaG_z,L1D_flex,-0.38638188116114097,0.0
L-M-TaG_z,L1B_rot,0.3845266602953123,0.0
L-F-TaG_r,R1B_rot,0.38299504194771816,0.0
x_vel_lag_minus_2,L1B_flex,-0.38172431132560797,0.0
L-H-TaG_r,R1B_rot,0.37814422915437557,0.0
x_vel_lag_plus_20,L1B_rot,0.3780659574726456,0.0
x_vel_ma10,L1B_flex,-0.3766885608543143,0.0
L-M-TaG_z,L2C_flex,-0.3765876284016036,0.0
R-H-TaG_y,R2A_flex,0.37629448767270807,0.0
R-H-TaG_z,R3B_rot,0.3758040465335236,0.0
L-F-TaG_r,L2B_flex,0.3754059507182808,0.0
R-H-TaG_x,R3D_flex,0.3747176796362884,0.0
L-M-TaG_z,L3B_flex,-0.37217916874731105,0.0
L-H-TaG_z,L3C_flex,-0.3710152367642643,0.0
L-H-TaG_y,L1A_abduct,0.3691316116580022,0.0
L-F-TaG_r,L1B_flex,0.368832079928448,0.0
L-F-TaG_z,R1B_flex,-0.3682684570304643,0.0
x_vel_lag_minus_1,L1B_flex,-0.3661670985731478,0.0
R-F-TaG_z,L1B_rot,0.3656794817360015,0.0
R-M-TaG_z,R2A_flex,-0.3651522974183606,0.0
L-M-TaG_r,R1B_flex,0.36158923746399957,0.0
R-H-TaG_z,R3C_flex,-0.3591764884771821,0.0
velocity_magnitude,L1B_rot,0.35756578380833026,0.0
x_vel_ma5,L1B_flex,-0.3566775539173257,0.0
L-F-TaG_r,L2A_rot,-0.3562303267892706,0.0
L-H-TaG_y,L2A_abduct,0.35564961537735096,0.0
xz_velocity,L1B_rot,0.35510150408331764,0.0
L-H-TaG_x,L1A_flex,0.35030152377264345,0.0
L-H-TaG_y,L3A_flex,0.3496379845646499,0.0
xy_position,L1B_flex,-0.3495566442730991,0.0
xz_position,L1B_flex,-0.3495566442730991,0.0
xy_velocity,L1B_flex,-0.3481444170618314,0.0
R-M-TaG_r,R1B_flex,0.3466110458651436,0.0
R-H-TaG_z,R3A_flex,-0.34590142924473666,0.0
R-F-TaG_z,R1D_flex,-0.3410679298832989,0.0
position_magnitude,L2B_flex,-0.34008098478821797,0.0
z_acc,R1A_rot,-0.3382283455893171,0.0
L-F-TaG_x,R2A_flex,-0.3377696025047413,0.0
x_vel_lag_plus_10,L1B_flex,-0.3372276695288062,0.0
x_vel_lag_plus_1,L1B_flex,-0.3371546380040247,0.0
z_acc,R1C_rot,-0.33566680314573694,0.0
R-F-Vel_x,R1B_rot,-0.3326039542865757,0.0
L-M-TaG_r,L2B_flex,0.33255301705645557,0.0
