Feature,Joint Angle,Correlation
R-H-Vel_y,L1A_flex,-0.42496900172336705
xy_velocity,R1B_rot,-0.42419011521787336
R-F-Vel_r,L3C_flex,-0.4237011540390705
R-F-TaG_y,R1A_abduct,-0.4216670701618071
R-F-TaG_y,L1D_flex,-0.42071507241676886
L-M-TaG_x,L2A_abduct,-0.42021239451585746
R-M-Vel_r,R2A_rot,-0.41984780173228636
L-H-TaG_y,L1A_rot,-0.4189515528874769
R-H-TaG_z,R3A_rot,0.4180422919863208
velocity_magnitude,R1B_rot,-0.41721965678571993
R-M-Vel_r,R2B_rot,0.416827533337067
z_vel_ma20,L1A_abduct,0.4165275857412478
L-H-TaG_z,L3D_flex,-0.4164623642442931
L-F-TaG_z,L3C_rot,-0.41590092421382874
y_vel_ma5,L2A_abduct,-0.414752404399546
R-M-TaG_y,L2B_rot,-0.4147406849987527
L-M-TaG_y,R2B_rot,0.41445764211876723
L-F-TaG_y,L3A_rot,-0.41371309208182544
L-H-TaG_y,R3D_flex,0.4135526100841278
L-F-Vel_r,L3C_flex,0.41317192119795026
z_vel_lag_minus_20,L1A_abduct,0.41207987798062873
R-H-TaG_y,R2A_abduct,0.41206747929824505
z_vel_lag_minus_10,L1A_abduct,0.41160558946408543
R-F-TaG_z,R1A_abduct,0.4111611902264297
R-F-Vel_r,R1B_rot,-0.410704743231246
z_vel_ma20,L2D_flex,0.41035077285811306
y_vel_ma20,L1A_abduct,-0.4103005564179646
xz_velocity,R1B_rot,-0.410011938602447
y_vel_ma10,R2A_abduct,-0.40969532858472374
z_vel_ma10,L1A_abduct,0.40941782722717435
z_vel_lag_plus_20,R3A_flex,0.40941771370242
R-M-TaG_y,R3B_flex,0.40909700376618013
R-F-TaG_y,L1A_abduct,0.4090875899560539
z_vel_lag_plus_20,L2C_flex,0.40905233313956935
z_vel_lag_minus_5,L1A_abduct,0.40833555747214667
y_vel_lag_minus_1,L2A_abduct,-0.40826712766137147
L-M-TaG_y,L2A_rot,-0.4080831821518532
y_vel_lag_plus_20,L2A_abduct,-0.4080490894364357
y_vel_lag_minus_2,L2A_abduct,-0.40768815560437494
z_vel_lag_minus_3,L1A_abduct,0.4074630835152875
L-H-TaG_z,L3A_flex,-0.4073888340785588
y_vel_lag_plus_1,L2A_abduct,-0.4073693926741663
z_vel_lag_minus_2,L1A_abduct,0.40708729795029
z_vel_ma5,L1A_abduct,0.4070553844911786
R-F-Vel_r,R3C_flex,0.4070261108008914
z_vel_lag_minus_1,L1A_abduct,0.4067098106696896
x_vel_lag_plus_1,R1B_rot,-0.4066759582762964
x_vel_ma5,R1B_rot,-0.4065797622981787
R-H-Vel_y,R1A_rot,0.40650886663825664
y_vel_lag_minus_3,L2A_abduct,-0.40642976165687916
y_vel_lag_plus_2,L2A_abduct,-0.40616154625453627
z_vel_lag_plus_1,L1A_abduct,0.40558879551535504
y_vel_lag_plus_10,L2A_abduct,-0.4055791572222799
L-H-TaG_y,L3D_flex,-0.4052656357376132
y_vel_ma10,L1A_abduct,-0.40525286480909967
x_vel_ma10,R1B_rot,-0.40515819594197483
z_vel_ma10,L2D_flex,0.40500428167665103
z_vel_lag_plus_2,L1A_abduct,0.40482044473270895
y_vel_lag_plus_3,L2A_abduct,-0.40476320810173216
z_vel_ma20,L2A_abduct,0.4045586922038328
x_vel_lag_minus_1,R1B_rot,-0.4042918033938186
x_vel_lag_plus_2,R1B_rot,-0.40417149834343874
x_vel_ma20,R1B_rot,-0.4041152951618245
z_vel_lag_plus_3,L1A_abduct,0.4040187378307798
L-H-TaG_x,L3A_rot,0.4036808639480004
z_vel_ma5,L2D_flex,0.40358465689834283
R-M-TaG_y,L1C_flex,0.4033270480924604
z_vel_lag_plus_1,L2D_flex,0.40308841667352163
z_vel_lag_plus_2,L2D_flex,0.4030593237454319
z_vel_lag_plus_3,L2D_flex,0.40285499452119045
R-M-TaG_y,L3C_flex,-0.402657674962354
y_vel_lag_minus_5,L2A_abduct,-0.40249772235392506
z_vel_lag_plus_5,L1A_abduct,0.4023560743125942
L-F-TaG_z,L1A_rot,0.4022776136594847
z_vel_lag_minus_1,L2D_flex,0.40227519025130704
y_vel_lag_plus_5,L2A_abduct,-0.40223041992594544
z_vel_lag_plus_5,L2D_flex,0.4020098885494758
y_vel_lag_minus_20,L2A_abduct,-0.4019296034561288
z_vel_lag_minus_2,L2D_flex,0.40139098153457503
R-M-TaG_r,L3A_flex,-0.4013897030706103
x_vel_lag_minus_2,R1B_rot,-0.40039439461802645
L-H-Vel_y,R1D_flex,-0.40038855281127567
y_vel_ma5,L1A_abduct,-0.400310034433541
z_vel_lag_minus_3,L2D_flex,0.4002627207874156
x_vel_lag_plus_3,R1B_rot,-0.4001386575439371
z_vel_lag_minus_20,L2A_abduct,0.39991631023511726
R-F-Vel_r,L1A_rot,-0.3997401804783914
R-F-TaG_z,R3C_rot,0.3988773966556061
z_vel_lag_plus_10,L1A_abduct,0.3984522713613526
L-H-TaG_y,R2A_rot,0.39829841671056265
y_vel_lag_minus_1,L1A_abduct,-0.39797466242789725
z_vel_lag_minus_5,L2D_flex,0.39735252759036926
z_vel_ma10,L2A_abduct,0.39712752357394104
L-F-TaG_z,L3B_flex,0.39687856491754336
z_vel_lag_plus_10,L2D_flex,0.39677368327251156
x_vel_lag_minus_3,R1B_rot,-0.3964065081656731
z_vel_lag_minus_20,L2C_flex,0.39593929342071316
L-H-Vel_r,R3C_flex,-0.39571949151478036
z_vel_lag_plus_10,L2A_abduct,0.3956423090481507
z_vel_lag_plus_20,L2A_abduct,0.3955100125243072
R-M-TaG_y,R3C_flex,0.39540562996371076
R-F-TaG_r,R1B_rot,-0.39527655462918027
z_vel_lag_minus_10,L2A_abduct,0.39525931552440186
z_vel_ma5,L2A_abduct,0.39477739250411525
z_vel_lag_plus_5,L2A_abduct,0.3944012665644892
z_vel_lag_plus_3,L2A_abduct,0.39403419966517444
z_vel_lag_minus_5,L2A_abduct,0.39394377516686424
z_vel_lag_plus_2,L2A_abduct,0.3938973034491898
y_vel_ma5,R2A_abduct,-0.393823409187057
z_vel_lag_plus_1,L2A_abduct,0.39381758559457375
z_vel_lag_minus_3,L2A_abduct,0.3937463243884325
L-M-TaG_x,R2A_abduct,-0.3937246702625353
z_vel_lag_minus_1,L2A_abduct,0.3937219721019986
z_vel_lag_minus_2,L2A_abduct,0.3937011006253615
y_vel_lag_minus_10,L2A_abduct,-0.3936330396868959
x_vel_lag_minus_10,R1B_rot,-0.3932261100163296
y_vel_lag_minus_2,L1A_abduct,-0.3929189893115622
y_vel_lag_plus_20,R2A_abduct,-0.39259756032661697
y_vel_lag_plus_1,L1A_abduct,-0.3924159544921545
L-M-TaG_y,L1C_flex,-0.3923430156638532
R-H-Vel_r,L3C_flex,-0.392132004808881
R-M-Vel_z,R2A_rot,-0.3920040780529619
R-F-TaG_z,L2A_abduct,0.3919587466667326
R-M-TaG_z,R2A_abduct,-0.3911111786586964
L-F-TaG_y,R1A_abduct,0.3911083496251107
R-F-TaG_r,R1A_abduct,-0.3902200934138174
x_vel_lag_minus_5,R1B_rot,-0.38987796963846566
y_vel_lag_minus_2,R2A_abduct,-0.38948322010436803
y_vel_lag_minus_3,R2A_abduct,-0.3894158620785685
L-F-Vel_y,L1B_rot,0.3889131539889885
y_vel_lag_minus_1,R2A_abduct,-0.3888360645556259
x_vel_lag_plus_5,R1B_rot,-0.38864994379977635
y_vel_lag_minus_5,R2A_abduct,-0.38738239675829356
L-H-Vel_y,L1A_abduct,-0.38717607322984293
z_vel_lag_minus_10,L2D_flex,0.3870688158164585
z_vel_lag_plus_20,L1A_abduct,0.38696904338553595
y_vel_lag_minus_20,L1A_abduct,-0.3863894545757051
L-H-Vel_y,L1A_rot,-0.3861999459449281
y_vel_lag_plus_1,R2A_abduct,-0.38554138570428376
