,L-F-CTr_x,L-F-CTr_y,L-F-CTr_z,L-F-FeTi_x,L-F-FeTi_y,L-F-FeTi_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-F-ThC_x,L-F-ThC_y,L-F-ThC_z,L-F-TiTa_x,L-F-TiTa_y,L-F-TiTa_z,L-H-CTr_x,L-H-CTr_y,L-H-CTr_z,L-H-FeTi_x,L-H-FeTi_y,L-H-FeTi_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,L-H-ThC_x,L-H-ThC_y,L-H-ThC_z,L-H-TiTa_x,L-H-TiTa_y,L-H-TiTa_z,L-M-CTr_x,L-M-CTr_y,L-M-CTr_z,L-M-FeTi_x,L-M-FeTi_y,L-M-FeTi_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-M-ThC_x,L-M-ThC_y,L-M-ThC_z,L-M-TiTa_x,L-M-TiTa_y,L-M-TiTa_z,L-WH_x,L-WH_y,L-WH_z,Notum_x,Notum_y,Notum_z,R-F-CTr_x,R-F-CTr_y,R-F-CTr_z,R-F-FeTi_x,R-F-FeTi_y,R-F-FeTi_z,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-F-ThC_x,R-F-ThC_y,R-F-ThC_z,R-F-TiTa_x,R-F-TiTa_y,R-F-TiTa_z,R-H-CTr_x,R-H-CTr_y,R-H-CTr_z,R-H-FeTi_x,R-H-FeTi_y,R-H-FeTi_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,R-H-ThC_x,R-H-ThC_y,R-H-ThC_z,R-H-TiTa_x,R-H-TiTa_y,R-H-TiTa_z,R-M-CTr_x,R-M-CTr_y,R-M-CTr_z,R-M-FeTi_x,R-M-FeTi_y,R-M-FeTi_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-M-ThC_x,R-M-ThC_y,R-M-ThC_z,R-M-TiTa_x,R-M-TiTa_y,R-M-TiTa_z,R-WH_x,R-WH_y,R-WH_z
L-H-TiTa_y,-0.050267823702647256,-0.12133087700240823,0.11373503652992414,0.013861773463332394,-0.06683442560147482,0.14706726477269863,0.045398016432684915,0.003745034392691199,0.15661208998001572,-0.11620259729714998,-0.1621928421473894,0.00238973896832862,0.047924574328575255,-0.022740111897211857,0.16202216723603086,-0.2888290091646658,0.27141548725319736,-0.02206535182758292,-0.6531235828151496,0.7906906694747545,0.5136711741619218,-0.47010245634291636,0.9072121811808345,0.14580436153759638,-0.08440214538497785,-0.029187116261220915,0.18689257646455384,-0.462442034535718,1.0,0.32342491694834585,-0.11827878361065625,-0.06578895196859447,0.057069716213798485,0.031128403032275223,0.13300925741981573,0.10951277441463567,0.0478004591245058,0.157885145170441,0.12597768406989918,-0.1792031371784442,-0.11833985477208947,0.1955808987063886,0.08129181357194463,0.16898306832534143,0.13731818921104977,0.003030680067472007,0.2902045695013942,0.06847903042212002,0.06222650728515183,0.14114148573905574,-0.21617571894198756,0.007286314559318582,-0.13280330192558934,0.05777682247165021,0.09896040064768595,-0.20916322065515586,0.12335095842048756,0.09284809751724296,-0.09440940274403647,0.1572265560507675,-0.08741551373096788,-0.18620925952455278,-0.08605950522979368,0.0834963636168497,-0.11983081316656446,0.14974261440707531,-0.21260392040559248,-0.1781717065909442,0.058625133642929095,-0.2501929384336584,-0.0541506796607054,0.004393281897941862,-0.2643656820127922,-0.04772655727536527,-0.0818849439521802,-0.1338779076012323,-0.18500169710109104,-0.22274031846465142,-0.282945944782771,-0.02992514975574869,-0.0047511137701757205,-0.1200850097513936,-0.21125081832305445,0.05218491047019419,-0.14576215832917813,-0.2058185421866299,-0.02155332447635039,-0.07471841010242213,-0.17206067955870832,-0.022638076766201217,-0.12912455683172003,-0.1786342015646295,-0.1303068448393396,-0.10536125713860203,-0.1769331121742513,-0.010573234855838456,-0.049923138060084256,0.004522526401043017,-0.135256215818418
L-H-TiTa_z,-0.13178268656080125,-0.2537399157785432,0.33650113078556154,-0.10132385278875862,-0.2302599303427506,0.17756768963598343,-0.13599289556054817,-0.1968436469598063,0.1417380460272742,-0.23092716899761018,-0.11105778390420155,0.2314516242812542,-0.12083435239366959,-0.18411202534939317,0.16550839578573925,-0.3489055532205056,-0.3118351696356093,0.5095609544174279,-0.328103183594334,0.4875334354341932,0.8916955269370983,-0.22278505787718855,0.14784009116806693,0.9246193305952851,-0.28348783332058936,0.03876354591397343,0.17505015877296484,-0.24651773300136057,0.32342491694834585,1.0,-0.3464596889098903,-0.022822162758067525,0.32636807105781257,0.2592850460654268,-0.10995378646465488,0.26756705817905435,-0.08722832516476609,-0.15400319846030244,0.3874303245712687,-0.2253194459163251,0.011788801670961588,0.24725625625197636,-0.027629479304204344,-0.13418793292786582,0.30393484018384864,0.21756534414621795,0.19245620165923102,0.365045396773179,0.28038080454793796,0.1346083603426085,-0.13214419252750076,-0.20970869119691557,-0.2595291896151747,0.22712726365099525,-0.0885259084831389,-0.24552945725661057,-0.005088627557404367,-0.07229684575627679,-0.28525700105792895,-0.03458538359584209,-0.3154651453335576,-0.05876932661860794,-0.31215695079945166,-0.07699315646000787,-0.25716069983171647,0.026183899159173036,-0.1819564193990885,-0.4487514676769397,0.37484578197746166,-0.1632212964263504,0.05803973745042591,0.2577683542865997,-0.3341395383179597,-0.23523824420969114,0.3115594090871404,-0.2254814126102115,-0.14631349188155215,-0.11833635106892602,-0.31755500984894375,-0.17302724750609083,0.39638987581894125,-0.2931067207272741,-0.18897333598091107,0.15834137405937632,-0.10964082771719363,-0.2921952645705633,-0.06326915455684981,-0.1810187292421944,-0.30837162826131703,-0.09345673064070491,-0.26962636845596366,-0.12914811012580849,-0.12422938540909445,-0.1442212299941333,-0.3386009732428446,-0.05059211134055314,-0.2456866905645352,0.10136763868633229,-0.23529746080968153
L-M-CTr_x,0.6497802474958564,0.20805401555721056,-0.3954524021635036,0.445485397942958,0.2911227725651797,-0.21480958198072767,0.4191826498575853,0.17693173529517947,-0.20252356367540406,0.8998236673119142,0.15346235690533377,-0.30378269619052495,0.47612086567549805,0.17122953994268753,-0.20687839277200754,0.8408247654401965,-0.024941026379171848,-0.1902346674542987,0.08478181854515007,-0.2183362433111766,-0.3718447679356019,0.2953951662530939,-0.04785098861935718,-0.41109689445871384,0.9478876467651468,0.05572430007554395,0.20152820403103525,0.3049805934764678,-0.11827878361065625,-0.3464596889098903,1.0,-0.005091975743727323,-0.3196488674016204,-0.013260387621343806,-0.06062921307003894,-0.4102184405218944,0.42892544836556284,-0.02846521362177961,-0.5605453511364841,0.8742871311677646,-0.056270573061497395,-0.8619962095154902,0.38378351122719967,-0.022404422139695797,-0.4669771458357344,-0.2662454784054151,-0.009799694916926796,-0.8563479924396061,-0.7082391713727677,-0.6659264189484512,0.45723211661846336,0.6836247613754417,0.25522005862914543,-0.06211562113472868,0.4771284737131958,0.17912707633774805,0.19509400416124345,0.4239295295466942,0.21843679793463314,0.1993640702181686,0.9336914031428133,0.46874949030784696,0.6084341960153381,0.4388050862872726,0.1804806170796905,0.10769452412518203,0.6809888644744476,0.25445177684489884,-0.3323267589330102,0.22053662505780902,-0.273951592633757,0.007322524533659851,0.19792123663286498,-0.12200970405445435,0.12523607996245162,0.8751797403317376,0.4382828909706105,0.32848631010223467,0.21454216348016025,-0.14333257098860933,0.0025408739599000027,0.893788007209599,0.28268944781109434,-0.40037309722109793,0.2588974175778678,-0.06365294620916026,0.18158636620920138,0.4887036631442611,-0.010209289779192355,0.40941379558708757,0.9072670963309593,0.48412239823609027,0.12091543411280002,0.39952804162957073,0.017503795590183554,0.15222797336687013,0.28666417327309984,0.010002598473493617,0.8880039015905191
L-M-CTr_y,0.3289100166507246,0.4017179279869376,-0.06306385522573216,0.14483734777883245,0.284087840475843,-0.4140649531974797,0.2609626266972998,0.04641008682184204,-0.4813403692994761,0.14156175780016883,0.7644167674832961,0.2376627180151649,0.19353179349075714,0.127990673617414,-0.3852770843184518,0.11061410319391334,0.5050461691040244,-0.4325894728972511,0.039935582180332094,-0.003595146169770718,-0.0700068209065485,0.026302877353472188,-0.09079606751090888,0.03790130922456578,0.03339901292106361,0.7075727836447717,0.05470810153603457,0.05272327743114976,-0.06578895196859447,-0.022822162758067525,-0.005091975743727323,1.0,-0.6826362447659928,-0.054342742116544156,0.1566578503907521,-0.27020910985286756,0.16950264929595246,0.13698899137247386,-0.33943022087623137,0.20528157152351093,0.8131934625649098,-0.21150391078254832,0.10322773487230325,0.17144163906788915,-0.2778756835490142,0.525246740454032,0.01440047749216545,0.2879648177602916,-0.15877974021569133,-0.3198992167254017,0.5324182645061415,0.1792515731915997,0.31288086877030435,0.044273031336659996,0.13991023807361344,0.1688545668633857,-0.23342789837694256,0.11578474538728813,-0.06268291306907914,-0.29431927708618466,0.09692695390731276,0.6621420526556578,0.046550267009611596,0.12594983385166475,0.028598095961705143,-0.26878261745253773,0.35339984298670446,0.2177506208886798,0.03511243560883422,0.06293512604097062,0.054917057772536845,0.13969498135120453,0.14187739100438607,-0.037954643673810386,0.3315130259026773,0.13143138268772162,0.6022493765544145,0.062370287648943395,0.12081982089472346,-0.009318941206076807,0.1705498693263223,0.09139844812619423,0.65075385433903,-0.024285475934593414,0.09696837055540093,0.0735943688364159,0.1549652981086838,0.14626769926776123,0.013378936105346902,0.26184183968945185,0.032004341435024834,0.5627750757115622,-0.14277596759231864,0.10433314174314574,0.06818206019849973,0.1664334557920181,-0.5327258183609003,-0.033398841605287125,0.12653630622559348
L-M-CTr_z,-0.3989678522190252,-0.29801744330686214,0.17993721335288987,-0.17905192076453372,-0.22852742980106122,0.29406296025427453,-0.25232631524196714,-0.08408389340807822,0.30766371431222056,-0.3807337091454889,-0.5286109066983103,-0.03276352960225098,-0.23386348395344086,-0.1187692498484602,0.2564067005685108,-0.35668685564794705,-0.4346292117185976,0.5818625746795569,0.003011188088351336,0.10062313755722045,0.3027943290082435,-0.09070630648178217,0.0015093683406989364,0.3365638538697937,-0.392168156411667,-0.338574263416357,-0.03134522404983353,-0.10396476978571655,0.057069716213798485,0.32636807105781257,-0.3196488674016204,-0.6826362447659928,1.0,0.32193461340550394,-0.26253962748769166,0.3644741249889862,-0.1845908280863282,-0.2814620090552161,0.5080431958478551,-0.4109428059870675,-0.37908459257880833,0.4565918604094557,-0.11047832262747025,-0.30718974307954733,0.4156678298317364,0.0001963952371508033,0.09026866119429637,0.20133945548538357,0.34316633768165977,0.4903562066000504,-0.5549334397097675,-0.4188047173483259,-0.3228041971017473,0.09120818169634312,-0.30041976585692,-0.1943768751461197,0.03961855269658509,-0.2756074569621032,-0.10407883025587143,0.06578948266918805,-0.43113627516741004,-0.5265315781932692,-0.2955661690320854,-0.28623783978439377,-0.12942029646004863,0.10662339050183085,-0.4815308339039637,-0.329496811361325,0.21506945283649362,-0.19689599353773748,0.05146981057061503,0.027097073670476913,-0.2685765913243452,-0.06995698159859524,-0.10817897430602236,-0.4027372199399463,-0.4975421932684095,-0.1575384375480061,-0.2528101507100737,-0.037325630289592696,0.0560931371562701,-0.39300724501528045,-0.5058693640134653,0.18240985094883405,-0.18880896475905576,-0.09665716020879248,-0.14225164466157234,-0.296496181359007,-0.08304746411253529,-0.28417875755610894,-0.4138128120278298,-0.44710016161285404,0.083109581363203,-0.25223830635613226,-0.14898214802860094,-0.13149158759921353,-0.02758686596171907,0.04931952243459013,-0.3478136560465494
L-M-FeTi_x,0.008059572558513205,-0.0569675594561289,0.06548011393682834,-0.016741915038198628,-0.0291143991060774,0.0694268736259476,-0.02277121033711627,-0.09991530294988936,-0.010426504772857108,-0.03163967417029093,0.07221771971563722,0.11576616807626976,-0.01432236694610174,-0.08300290686520688,0.029284285398071604,-0.041485339121148226,-0.16546852928102782,0.24452054378314364,0.005394871401421012,0.08940025576136072,0.2404276508285818,-0.05594790814912041,-0.012354849670151947,0.25383254351014395,-0.047508092863978724,0.10491371463073525,0.15496167761490143,-0.052455932150647214,0.031128403032275223,0.2592850460654268,-0.013260387621343806,-0.054342742116544156,0.32193461340550394,1.0,-0.4315549026072213,0.3471343883260646,0.39087332108874595,-0.44508875160858136,0.4220120410347204,0.06905151512992527,0.10775161304243906,0.04044682499040656,0.48096125455080857,-0.4300583207421999,0.4185843827126506,0.2044779363000578,0.0656326592044514,0.14774093446689046,0.06869795449940799,-0.1175611160537574,0.015583048771298942,-0.06981644762733481,-0.030791973128434503,0.02909333010510539,-0.05297459292430663,-0.0036840995347516203,-0.01032691706263834,-0.09759217508231835,-0.010128330186728152,-0.041253847626805604,-0.07225840366653093,0.0568034866979366,-0.13676360305151655,-0.08684121560694763,-0.009171965486124947,-0.005476448689355202,0.027202506672550905,-0.25419876355656473,0.20627708255162724,-0.024943218029060247,0.058706450060796625,0.24188119084709642,-0.11862121375109862,-0.08208734289958343,0.23933871262961545,-0.05074987111828356,-0.06948714899581769,-0.008103395387332915,-0.11792177266507896,-0.03802658134391199,0.2824006037832634,-0.05609209801656061,-0.04882441597916886,0.06243879823779708,-0.004080433246825222,-0.05437898845448222,0.1038732626186625,-0.008859201578482382,-0.06460655964661433,0.07648402403704496,-0.0790418810818353,-0.020658518961271043,-0.07999797130251689,-0.045575836971523384,-0.08640297176048663,0.09988258077822904,-0.20721540450066436,0.07189717099955632,-0.03031839616496421
L-M-FeTi_y,-0.009491473642443685,-0.024664546490174938,0.04093320787775701,0.12338941778089604,0.01942637215276656,0.1802528303224915,0.08210950254462353,0.11435716126405492,0.19802655830642912,-0.08101732004226098,-0.014111090060555047,0.03781849017744296,0.07506472210885069,0.07982409731720568,0.2036612447641938,-0.12320423261885927,0.20426334252341516,-0.20402003478432618,-0.10428643926260368,0.1361036237228096,-0.0039043887098618776,-0.18881201859028143,0.14184527325055699,-0.1562230805515188,-0.059770227607064595,-0.07067281299659463,0.016746903197153277,-0.16824750265254584,0.13300925741981573,-0.10995378646465488,-0.06062921307003894,0.1566578503907521,-0.26253962748769166,-0.4315549026072213,1.0,0.197697361289095,-0.37940112609609294,0.9519119117331585,0.009014645202016908,-0.08999052826191996,-0.05883225888198051,0.06518130865409613,-0.30997607152946566,0.9601655467160716,0.11115393487677372,0.05898143017274793,-0.048489087679638845,0.027561874314455483,0.09628870472952657,0.10181722800966643,-0.10814478125048044,0.008165002434664755,-0.05473371665463333,-0.0008430012055933392,-0.05150518058296331,-0.019810711173589075,0.10443457264200305,-0.025303246662883985,0.004364774614432215,0.08989088804104393,-0.05425449683414806,-0.1265906121836568,-0.04187909778194921,-0.01937064268485011,-0.017018221251626806,0.09189588029909741,-0.09460324939174308,-0.01758890469884609,-0.06411648527014793,-0.1489121174468819,0.02676668582901139,0.012358507037958807,-0.03769241453546381,0.08070698849384343,-0.16210826364638894,-0.09874724368984408,-0.1728175841468078,-0.13510773956976344,-0.052847618895753394,0.07265775363741302,-0.05773168436232737,-0.08418565587783397,-0.12476695443104359,-0.018628829614144263,-0.07322551647225328,0.07187572560587545,0.044321548342102224,-0.05796725200185617,0.05362963211847865,-0.020871857165122243,-0.0677507691696447,-0.17395831371716475,-0.11536100970192054,-0.05316264707025277,0.04720820663806726,0.041615510604232714,-0.05912637477891748,-0.06967080797491214,-0.1268705955642903
L-M-FeTi_z,-0.34255553043297066,-0.21550523615573483,0.14739692351608513,-0.11120639796925431,-0.14219109343961994,0.37547296611772946,-0.20149247279153185,0.0061438597463925404,0.3529981198274392,-0.40246164445325455,-0.340273378731585,0.169418710343956,-0.1873813542126023,-0.027148835981820076,0.33500711350923856,-0.3663081635757062,-0.1831509188216315,0.21107087132370522,-0.08766625385164092,0.20385947639472962,0.33124381197241703,-0.266666564430387,0.07414508284501434,0.26214744963524916,-0.42230313266801456,-0.3249186420119987,-0.02333077199762899,-0.2651594694299912,0.10951277441463567,0.26756705817905435,-0.4102184405218944,-0.27020910985286756,0.3644741249889862,0.3471343883260646,0.197697361289095,1.0,-0.14514502632502585,0.1689289486361101,0.8581009263325755,-0.3572472226293506,-0.292896789365767,0.4303326357086944,0.04055655570081275,0.19227830577689206,0.9610216139061061,0.014639510840782154,-0.045517726501210935,0.2940717853262196,0.4502337936996399,0.2658718820944882,-0.42623136269480616,-0.29321534027616064,-0.23495395882334869,-0.01838797182593256,-0.2546047645118572,-0.11297103697875063,0.11821843833369712,-0.23704771892612087,-0.0417795276308138,0.09738341881312507,-0.45370598388658046,-0.4237317503243522,-0.3660416738565191,-0.2295258481781421,-0.06935664560195902,0.14926685696047595,-0.378989240401424,-0.4090402392538595,0.18105229698975206,-0.203308969713395,0.058454183223772986,0.10910194067046379,-0.23022642327985504,-0.03388168086559303,-0.1297115761799279,-0.47061059744803596,-0.5158046359770726,-0.23053022406148002,-0.22522230926160017,-0.011080006851944369,0.06639132463036715,-0.44062849794402426,-0.4851425585870568,0.1555071877009496,-0.1822033357605954,-0.06946744501330383,0.005190209031972538,-0.24551646880927144,-0.03261540241353967,-0.16658217139060982,-0.4180779769021111,-0.49340375388038016,-0.15589151823478747,-0.2204413772812675,-0.1145168751811903,-0.001858468262507156,-0.03518992285324683,-0.06444982079028683,-0.4582734053049941
L-M-TaG_x,0.4207066332532403,0.1721997943048008,-0.15980706047041168,0.19583528602344605,0.17535166977216116,-0.24117269695300533,0.28212381946917586,0.008600802834400035,-0.2667835057899632,0.4725479738214408,0.31297929057021473,-0.10143891532276154,0.2968037093254747,0.030440630436243597,-0.22462091146084925,0.47537950778660987,0.033186958364700876,-0.0337905129430508,0.03626641853964664,-0.030900850683232894,-0.1399541115927636,0.19284001643781357,0.09205421406118498,-0.10577526072510604,0.4726412248023956,0.32698178560383007,0.2569365460765937,0.20342519547623572,0.0478004591245058,-0.08722832516476609,0.42892544836556284,0.16950264929595246,-0.1845908280863282,0.39087332108874595,-0.37940112609609294,-0.14514502632502585,1.0,-0.37333641266381523,-0.2856764499533622,0.4763199757666163,0.2535853695631474,-0.4278263339264576,0.9453752114841678,-0.3318644704051654,-0.13807060956742312,0.037057446089486,0.1742175309982516,-0.28368932803983427,-0.43788243526191667,-0.46357255187124474,0.36426881285411344,0.3446478835743908,0.13455985133253168,0.08805323616017365,0.3105828598661364,0.030763888187704116,0.0982746370304467,0.23784479753707344,0.028076193028649235,0.0908937095816039,0.484817644267322,0.4355021352461549,0.3335969036747199,0.23734726865181802,0.015767815489317154,0.06512242518792262,0.3854593937442951,0.03951730278350417,-0.02597943933045464,0.0316364519488671,-0.14323651780824187,0.15883327993606966,-0.029187145916231526,-0.1035115247445634,0.29782226514175564,0.44549033300634433,0.41203049833924366,0.13163947601744466,-0.05015107468331907,-0.0745946338387644,0.1802898154940425,0.46854327257291795,0.30816310748257925,-0.19072206862800245,0.05655526464456187,-0.09698446809618588,0.16666541847751656,0.21732102367249212,-0.04593735670808401,0.36451706196119443,0.42736393251166516,0.4195001170295866,-0.0460666868832738,0.1296384278938365,-0.02938121563508604,0.17499424114992765,-0.04744743910799504,0.053555993375527855,0.48713390683407043
L-M-TaG_y,0.001292457904458775,-0.006558540169042077,0.015358906121844412,0.119865032959445,0.028224046547350678,0.1501897610206846,0.1031228512686184,0.1277632992167979,0.18463102317558114,-0.06902108964877991,-0.0426485688203245,0.002844591699989403,0.09425946623433744,0.09037703481199724,0.1839730125405634,-0.1162257075145781,0.21102488092375013,-0.2205023792695432,-0.12328411336400315,0.12710096563350373,-0.04829554954365909,-0.17376774416240437,0.1738248003127197,-0.19689174946215193,-0.03362243229026251,-0.1020395046166969,-0.00032597232899012285,-0.15193397826765892,0.157885145170441,-0.15400319846030244,-0.02846521362177961,0.13698899137247386,-0.2814620090552161,-0.44508875160858136,0.9519119117331585,0.1689289486361101,-0.37333641266381523,1.0,-0.005709189216922339,-0.08255063517234809,-0.08937232688647881,0.05422942634575736,-0.2999941799014252,0.9828937189373421,0.09320803825144211,-0.006371601825558512,-0.03913429892652956,-0.010415177129769386,0.07129043500333328,0.08558452576894288,-0.10021234430103577,0.031233654300753432,-0.030032965347258255,-0.031016252428862204,-0.026238805014296505,-0.010138033869551961,0.09021469056774595,-0.003866850943116801,0.021665054480393194,0.09059889275863339,-0.025997477794059143,-0.13417743649658365,-0.025966936487467337,-3.182209543921403e-05,-0.001285895595343709,0.08349160913869089,-0.09428634336791823,-0.003948707054244833,-0.06649727395675299,-0.1354852476071051,0.015887852440075918,-0.02909979964445224,-0.051691396676855905,0.08610053070007974,-0.17756943688093185,-0.07758620108963268,-0.1693895361331714,-0.12015404245318557,-0.06633974757221779,0.08401478973606513,-0.09372442448863574,-0.05804733050600352,-0.1317609299227605,0.0005257437607072998,-0.05706318055735516,0.04387388223565547,0.02267591741756965,-0.05089709766022632,0.03885716152475414,-0.028496197829561233,-0.04108213162913995,-0.1737294976697993,-0.08768484401880292,-0.04450155093327425,0.04187546892589838,0.024507566517305665,0.008116322096187548,-0.05560169831791754,-0.10749284707942842
L-M-TaG_z,-0.4592505861802437,-0.32588165752506904,0.27897363743277426,-0.22825179932056533,-0.27446906042415536,0.41909529547522917,-0.3153543246143566,-0.1011516908621453,0.4120005071347683,-0.5699159790305142,-0.45455412230187414,0.16401059365234627,-0.2969855001959648,-0.1330416813978254,0.3804255554648947,-0.5545392724142227,-0.2253878294757741,0.339915113197651,-0.1672304149835543,0.2566718517803197,0.42435413951192996,-0.3226986683827176,0.06690379497083031,0.40292898863966786,-0.5906781018918217,-0.36691423076174945,-0.08098334858590746,-0.34095562458410655,0.12597768406989918,0.3874303245712687,-0.5605453511364841,-0.33943022087623137,0.5080431958478551,0.4220120410347204,0.009014645202016908,0.8581009263325755,-0.2856764499533622,-0.005709189216922339,1.0,-0.5353440523327531,-0.35240584999011804,0.5748331706397937,-0.12129159892335213,0.005967905094050554,0.9330498551310751,-0.05156528954603761,0.0009620467550063452,0.4051421455376507,0.5418656752647215,0.440859033229086,-0.4997572488372794,-0.4322264460820621,-0.3094251509029261,0.010672009821883125,-0.3251151866935828,-0.1941490603492171,0.056417399245197196,-0.2860667360955975,-0.12554732312107114,0.04688702409289593,-0.6322177776036829,-0.5247384257493418,-0.4667418013660536,-0.2805909584583237,-0.1417253288482064,0.10554303728567196,-0.49696141852631653,-0.47563497842407376,0.29983983114959156,-0.23665051298467005,0.0664972188898031,0.06219295887468585,-0.30104208682045513,-0.044335467537766356,-0.12251714271423232,-0.5815326698527397,-0.5679785909719641,-0.2103101941825363,-0.28838593876691815,-0.03345293350879553,0.07241483914026407,-0.6000178205362553,-0.5391260566414878,0.2668780393087718,-0.20111904552959836,-0.09832642334979973,-0.11228241665629107,-0.3318507886934073,-0.091956525920614,-0.29459312815175015,-0.5596063645903652,-0.5600231552005346,-0.08246320889949857,-0.2742586895257499,-0.16170125731202328,-0.10851745382717193,0.03152408100942734,-0.0013019285343751537,-0.5918473285142276
L-M-ThC_x,0.6773220280409571,0.23604007967054585,-0.31790233577719856,0.37901940011546714,0.2581353263958447,-0.29136428441371026,0.381423439692991,0.065233032597255,-0.3095247936675943,0.9269295420089523,0.4109281697976516,-0.24303205615808793,0.4276681492257948,0.08606051495438435,-0.27735872227379427,0.867695352288815,-0.019073222406627798,-0.2155394967798801,0.1411476314586225,-0.24871022586570496,-0.2868161875138309,0.3302771166908152,-0.14204406971001407,-0.2620342113931644,0.8990710987275538,0.2852471156130728,0.16792042504024796,0.33678678335036766,-0.1792031371784442,-0.2253194459163251,0.8742871311677646,0.20528157152351093,-0.4109428059870675,0.06905151512992527,-0.08999052826191996,-0.3572472226293506,0.4763199757666163,-0.08255063517234809,-0.5353440523327531,1.0,0.20549987088868749,-0.8970837049558451,0.43552200798538576,-0.062000148811630226,-0.42240292258591317,-0.02472702441549043,-0.021785316870199512,-0.6762387890960008,-0.6485689816180233,-0.8124372426891129,0.5593397618963867,0.7126476268885238,0.33495839267500316,-0.035072409502272375,0.47857434070648097,0.25470161651988193,0.12879524788178234,0.4077610987993508,0.18808677636750548,0.08474208070500176,0.8895807318777036,0.7020005540441651,0.6006731181685014,0.4307373429844643,0.18535451917494877,0.026164356364476258,0.7934445429836126,0.2162493478134697,-0.22295222501000592,0.27564602688326506,-0.22274920324587272,0.12142275266521518,0.23572637153036513,-0.1618924026030713,0.29379437408193365,0.8327563705613409,0.5955528781720301,0.4031933619495172,0.2449360074760106,-0.16052076626372544,0.13367514120947013,0.8638628786318487,0.4409912873980787,-0.35233716091363143,0.3256902573580465,-0.060786439414638294,0.2510127195856662,0.5356052687791854,-0.01655556516325421,0.4901187342388563,0.8315364465476822,0.6368506649692144,0.12475201663512875,0.430250520989412,0.007152783193087613,0.21096234926303678,0.051229429042022545,0.020117533947865793,0.8829072156824322
L-M-ThC_y,0.24142530222691813,0.37409325597510007,-0.014023388655941552,0.019511899405941703,0.21997757874415416,-0.4825495693137203,0.17197570166267273,-0.06461130156522332,-0.5668449798822344,0.1027679711922685,0.8729032127162882,0.2475492742087544,0.08824510347414787,0.03346779448225966,-0.45313363909442217,0.11674300112327957,0.3571447545170741,-0.2643341626643058,0.16520197580128793,-0.08928791090519579,-0.06359893540442556,0.15016132661584133,-0.159935970738324,0.09655898375714128,-0.007569602480276189,0.8568840326814091,0.061303238241415405,0.17005663635259025,-0.11833985477208947,0.011788801670961588,-0.056270573061497395,0.8131934625649098,-0.37908459257880833,0.10775161304243906,-0.05883225888198051,-0.292896789365767,0.2535853695631474,-0.08937232688647881,-0.35240584999011804,0.20549987088868749,1.0,-0.1491602272003559,0.17594236780703568,-0.05767701285775282,-0.2951314530071602,0.6863325241480638,0.09138080861236289,0.3960751122305552,-0.07845685083585673,-0.2504723543237157,0.49785416058104237,0.10089749810592687,0.32220161891866606,0.07335360637484231,0.08693026617453653,0.18781297916283038,-0.29598571423821735,0.035776682263452174,-0.06506986072201867,-0.3491689777217052,0.06547291392600964,0.67673084825543,-0.005602616145180029,0.03598259598386961,0.03801540413802064,-0.31246899627781344,0.31983447431631423,0.18363015538495456,0.1548761392271915,0.08156091640102858,0.09491721655093198,0.13253200535223703,0.1222833146621021,-0.055493302977237015,0.3929195732797605,0.09541715759259876,0.5909332390993367,0.07201188547449447,0.10750775281447177,-0.0017780624609200074,0.19389788207606207,0.06305488812594301,0.6226845602600778,0.07788861617033162,0.09679106190249293,0.06860979604595437,0.1551780491169927,0.11444690346783537,0.006480834208324682,0.2548801657826609,-0.056351858314220564,0.5494965940828582,-0.10628142958710646,0.0783238287585395,0.05264670884622911,0.16687696405739996,-0.7128115786062421,-0.0019648055345444547,0.10079707648528557
