Feature,Joint Angle,Correlation,P-value
y_vel_ma20,L2A_abduct,-0.46013090196943107,0.0
R-F-TaG_y,L1B_flex,-0.4585487550679167,0.0
R-H-Vel_y,R1B_flex,0.4578125542245177,0.0
L-F-Vel_z,L1A_flex,-0.4569892320772929,0.0
L-H-TaG_z,R2A_abduct,-0.4559029556915842,0.0
L-H-TaG_z,L2A_abduct,-0.4552573717505013,0.0
L-M-TaG_y,L2C_rot,-0.454745952912917,0.0
L-F-Vel_r,L1B_rot,0.4541645238352244,0.0
R-H-Vel_r,R3B_flex,0.45083601690882386,0.0
L-F-TaG_z,L2A_abduct,0.4507820865142778,0.0
L-H-TaG_z,R2B_flex,-0.4498816705685403,0.0
z_vel_ma20,L2C_flex,0.4497309902541711,0.0
L-H-TaG_z,L3C_flex,-0.4495926386855417,0.0
L-H-Vel_y,L1B_flex,0.4485391878404572,0.0
z_vel_ma10,L2C_flex,0.44538473611663065,0.0
L-F-TaG_y,R1A_flex,-0.44461885421894265,0.0
L-H-TaG_y,L3B_flex,-0.44437601486875994,0.0
R-F-Vel_z,R1A_flex,-0.4442538350417369,0.0
z_vel_ma5,L2C_flex,0.4439587178371968,0.0
z_vel_lag_minus_1,L2C_flex,0.4435691445211963,0.0
z_vel_lag_minus_2,L2C_flex,0.44333049804947805,0.0
R-F-TaG_y,R2B_rot,0.4432433252047458,0.0
R-H-TaG_y,L1A_abduct,0.4430512901893999,0.0
z_vel_lag_minus_3,L2C_flex,0.44267923056011993,0.0
z_vel_lag_plus_1,L2C_flex,0.4426366057498788,0.0
z_vel_lag_plus_10,R3A_flex,0.4424775880142852,0.0
R-F-TaG_y,L2B_rot,0.442102830472381,0.0
z_vel_lag_plus_2,L2C_flex,0.4417396179325746,0.0
z_vel_lag_plus_3,L2C_flex,0.4407971975661894,0.0
L-M-TaG_x,L2D_flex,-0.4402885650815617,0.0
z_vel_lag_minus_5,L2C_flex,0.4401110389582538,0.0
L-H-TaG_r,L3B_rot,-0.43968387774689793,0.0
L-H-Vel_y,R1A_flex,-0.4396725442531855,0.0
L-H-TaG_z,R3A_flex,-0.4391531639526644,0.0
z_vel_lag_plus_5,L2C_flex,0.4389646212198601,0.0
y_vel_ma20,R2A_abduct,-0.4383163613006721,0.0
R-H-TaG_z,R3C_flex,-0.4379457117099577,0.0
R-H-TaG_z,L3A_rot,0.437041041600114,0.0
R-H-TaG_y,L3B_flex,0.4359191885636042,0.0
L-H-Vel_y,L1A_flex,0.4358754813071432,0.0
R-M-TaG_y,L1A_rot,-0.4346439436321621,0.0
R-H-TaG_x,R3A_rot,0.43462630056552803,0.0
z_vel_lag_plus_10,L2C_flex,0.4343818560367226,0.0
R-F-TaG_y,L1A_flex,-0.4337266675407509,0.0
R-M-TaG_y,L1A_flex,0.4319352085234871,0.0
L-F-TaG_y,R2B_rot,-0.4314135160155022,0.0
L-F-TaG_y,L1A_abduct,-0.43087054137603437,0.0
