,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,R-F-TaG_r,R-M-TaG_r,R-H-TaG_r,L-F-TaG_r,L-M-TaG_r,L-H-TaG_r,R-F-Vel_x,R-F-Vel_y,R-F-Vel_z,R-M-Vel_x,R-M-Vel_y,R-M-Vel_z,R-H-Vel_x,R-H-Vel_y,R-H-Vel_z,L-F-Vel_x,L-F-Vel_y,L-F-Vel_z,L-M-Vel_x,L-M-Vel_y,L-M-Vel_z,L-H-Vel_x,L-H-Vel_y,L-H-Vel_z,R-F-Vel_r,R-M-Vel_r,R-H-Vel_r,L-F-Vel_r,L-M-Vel_r,L-H-Vel_r
x_pos,0.01942667710779828,0.057850863344116196,-0.06399778493512297,0.07035920432801238,0.016282431196264373,-0.044959007301748795,0.006917491802675049,-0.0431765967976197,-0.010867366311988976,-0.01266591170924716,0.036952413927838275,-0.022553561672671623,-0.028785214815278817,0.030075197786334742,0.02861738420619806,-0.07184152410190095,-0.0034082403300747504,-0.030725823542209516,-0.04007278535057613,-0.029580892667170813,-0.04523606544566746,-0.035911807538140106,-0.029491281232562835,-0.0549376782669033,0.03632235460829003,0.024733752770803745,-0.028789862736392176,0.03858338755751864,-0.012191836400579137,-0.04373044171426705,-0.007419504122219213,-0.016352235364176636,0.002162461671233183,0.020959472319952384,0.028106554524074644,-0.009720738623884666,0.0050669005090150905,0.026537393618031046,0.005025686578959938,-0.01399603408331854,-0.005553671686182699,0.010566245544442552,-0.009425580341867256,-0.009354584674806004,0.011900485928583095,-0.011753497825875899,-0.005886003195297373,0.012879475225303909
y_pos,-0.014027064201839327,0.07384019322932582,-0.0780280014489659,0.06597254908676148,0.08145638095308731,-0.05811780582295211,0.05209026756397993,-0.008518895259516913,-0.041041342505412144,-0.0023315203589403333,0.04107198859546914,-0.050257124637552095,-0.01919144842911412,0.040175701330028374,-0.0006333565074675791,-0.03794004178036889,-0.008100087550897927,-0.034886024119016604,-0.003986602046629055,0.005751045881696504,-0.011456238105113849,0.001535629638615051,0.011732330792076567,-0.013368405114645775,0.0395029025226203,0.03218122502024587,-0.03729456301971469,0.019998059416953467,0.002653444219619765,-0.039657449039963454,-0.005075498783088365,0.005857420926640928,0.00444159061010063,0.023086656069355057,0.043414197874833846,-0.020690714089107977,0.000907323374862783,0.03906120147855286,0.012223169461144271,-0.007291959044537353,0.005363401915530467,0.024890308426672014,-0.010890634173245905,-0.009678206317637977,0.00981849485303257,-0.006990160451757095,-0.0013575815133009062,0.012638467249859382
z_pos,-0.004865768523744842,0.08099281209236114,-0.08278235692064885,0.07195821008877605,0.04373656052949073,-0.057467647366284166,0.027506070608985335,-0.022783329354784918,-0.015405366455320238,-0.014050279188789327,0.039998025684501795,-0.04979004729806339,-0.018423596259305716,0.03333038220767283,0.007184455136813301,-0.04751163075726304,-0.001237885864824204,-0.043009303617016686,-0.015565508163459313,-0.006232884419167913,-0.019767171190426747,-0.012071690388459497,-0.0019734859358935797,-0.02933502397499699,0.04809142549337702,0.032677979337308656,-0.042499525507244354,0.03252833993654633,-0.014681340191655535,-0.04359243454601552,-0.018664693248064065,-0.015327226773175493,0.012679544105019726,0.0291253344245144,0.043923610372576846,-0.023517339951592556,-0.0053193683417187354,0.043169658499737786,0.00315648789275401,-0.02307717025067995,0.005136675149973425,0.01677872572576498,-0.01183034851999084,-0.012607659072184849,0.01072146025079047,-0.013724751771322444,-0.002637146548674041,0.015907051244357564
x_vel,-0.1337507178061469,0.023809264252608868,0.14657157228359047,-0.22364753353041403,-0.030874360978156268,-0.13171667216027366,-0.18751503889478358,-0.05900150912645425,-0.19410445364341944,-0.13014489960274458,0.12564371669250418,0.38331425505516176,-0.386146559024149,0.1018713430343179,0.4800604242206335,-0.25123874502488686,-0.10289037814812478,0.2842238293506397,-0.3843938017721823,-0.42753253967837335,-0.4332228728272722,-0.4020378979185487,-0.4030178297463012,-0.3879618544212188,-0.10357783063414264,-0.340484116647191,0.3580754526009917,-0.08106601273557722,-0.18294226152443838,0.219326079618367,0.0983280600083325,-0.13827654050468802,-0.23959544334724403,-0.13232972881771476,-0.3758415774188634,0.3266217591387062,0.1176446678528004,-0.38372933950424454,-0.054191645931551666,-0.01435872886790049,-0.23824299766333143,-0.2696350251542688,0.04371202247154359,0.060359088371991276,-0.012638237165565816,0.024631715827324336,-0.04895276870423375,-0.04447249217588837
y_vel,-0.06601688803464632,0.06832472251604152,0.01756614843612369,0.1956477665794481,0.1834097451626885,-0.07554643247037267,0.14428063332007832,-0.0979725060996414,-0.003176515480434699,0.010250842212563704,0.020851995915652965,0.02626620381933397,0.03923451161655239,0.023877360272289674,-0.0014591205526090112,0.05728063234981797,-0.1085468143755628,-0.11945262900109253,0.025683036606729638,0.0027857499307976322,0.05745621610519141,0.04070086083676663,0.018306441259162223,0.024903728685897058,0.033429248326746895,-0.05229007702282849,0.06634511940729344,0.20080613792812094,0.11202816784954155,-0.25672134495871024,0.2101318073854095,0.052717154184679225,-0.16145144692267874,0.10645651608544321,-0.11892170342623666,0.11623553034890526,0.3512989747861393,-0.1966440198715392,0.1929246030414909,0.2511532542663005,-0.0665720967325864,0.05373214473133672,0.018151286559575496,-0.09155535206608915,-0.012803561949268674,0.04370506701226252,0.06589097337945278,0.0316152679413969
z_vel,-0.18691452821148236,0.07651041231994857,-0.0019886024712907377,-0.01893862916295155,0.08215116151326184,-0.11098607783297774,-0.04469639394233105,-0.06859672490286453,-0.058363166996586946,-0.22474740438618973,-0.043197197464776786,0.26838714933793734,-0.22316896333801517,0.04483380341823216,0.3420224339500895,-0.10016058991351018,-0.0845911042592298,0.2316559594721977,-0.20444345546052375,-0.2218381421701225,-0.22318217876874974,-0.17264189843141722,-0.1975553867422059,-0.2213654663247619,-0.4275135272953172,-0.07849255095216645,0.15194514767213063,-0.22693581897214513,0.19865767329522807,-0.0005922905390643757,0.33010919564159014,0.30075230378116513,-0.1522434094397762,-0.3075464730478828,-0.3580973861338866,0.19224304945657733,0.2218247000431712,-0.42356521162297656,0.10013425995095576,0.3181763274141464,-0.19419575317499718,-0.03272265193223242,0.02119620878763268,-0.04749655533800365,0.006003422232558187,0.032933644136263276,0.013734188673839813,0.02577132338096941
