XYZ Variable,TaG Variable,Correlation
x_vel,L-M-TaG_x,-0.40782449024029216
z_vel,R-F-TaG_x,-0.36121782691658655
z_vel,L-H-TaG_x,0.3505747524045641
y_vel,L-M-TaG_x,0.34877011256547097
z_vel,R-H-TaG_z,-0.32021146389442773
z_vel,R-H-TaG_y,0.3069477485557937
x_vel,R-F-TaG_z,0.30171652925624637
