,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,R-F-TaG_r,R-M-TaG_r,R-H-TaG_r,L-F-TaG_r,L-M-TaG_r,L-H-TaG_r,R-F-Vel_x,R-F-Vel_y,R-F-Vel_z,R-M-Vel_x,R-M-Vel_y,R-M-Vel_z,R-H-Vel_x,R-H-Vel_y,R-H-Vel_z,L-F-Vel_x,L-F-Vel_y,L-F-Vel_z,L-M-Vel_x,L-M-Vel_y,L-M-Vel_z,L-H-Vel_x,L-H-Vel_y,L-H-Vel_z,R-F-Vel_r,R-M-Vel_r,R-H-Vel_r,L-F-Vel_r,L-M-Vel_r,L-H-Vel_r
x_pos,-0.1184676819917067,0.018789884573089256,0.034180778294409034,0.11645950607277505,0.03715427968180869,0.003956192193361971,0.10223147235862927,0.014905253471073307,0.005689083084587092,0.09838038662474251,0.030768714350275832,0.059659159424569515,-0.13755719988069678,0.020134334536928717,-0.011085783690983841,-0.09879096098588432,0.028809332428993452,0.006360695678704793,0.021895768564773252,0.031160958609973588,0.01192844535879616,0.0337168046203474,0.04259149619027421,0.015839370135755326,0.002422953500919429,-0.0468567722376163,0.037924629375528915,-0.009495955250158556,-0.05959352595284657,-0.010500360985469711,-0.00020911349125037754,-0.04830143891709644,-0.03962228125228133,-0.006236183075442706,-0.0418807994920989,0.030805136368972367,0.018809158757084683,-0.052457280718436514,-0.0078094812995569245,0.023266120077400903,-0.05257974677870903,-0.03433200628843393,0.002807502786818132,-0.008970928960294649,-0.005737549669704539,-0.0011401067618147178,0.0013195583736997478,-0.0009448182911568881
y_pos,0.13574023090613502,-0.01864570243645906,-0.020639324106861454,-0.10943733407171394,-0.026665352274719493,0.007576037531315052,-0.09227580878161543,-0.05268587950310532,-0.031175068366364602,-0.03324963611409333,0.013313615462581061,-0.020464455576148576,0.12746725414790733,0.053801247312487546,0.05477132898189975,-0.024472036290677315,0.03925281823476912,-0.019915707991189597,-0.0036373526274142568,-0.001539324474327513,-0.00965685150599326,0.0012661473451989085,-0.010637690683027756,-0.03030114313731214,0.01588810075231147,0.02200945354589631,-0.021259045500998813,0.013508976032000672,0.026631547804598053,0.008717372888535383,-0.01118533733439488,0.022971676577477236,0.028358842422632285,0.017692254356218972,0.026576858962076608,-0.009353316280066555,-0.007271964901637298,0.042553776812070544,0.024556730540534883,-0.021335429821412257,0.037128163852913704,0.03444664740862819,-0.0010675101750540685,0.004891992353252918,0.010276168766979248,0.000990825820393185,0.0009932086252720381,0.005162716399304599
z_pos,-0.09854067261496587,-0.0011832072612765817,0.02474091506864761,0.04468901940370273,-0.00042199483061360093,-0.013733507209492157,0.019706321746936095,0.05418521906762367,0.02497233960058477,-0.02616055967882493,-0.04284083853530181,0.018415052068678966,-0.034816757095824706,-0.030873793399356083,-0.01877428443629603,0.05408704765517358,-0.046047246405600054,0.006920333748227403,-0.011822237055535778,-0.018314666390228905,0.016934791465325085,-0.024624718655035384,-0.01257461355975635,0.030546802178672207,0.00269583494495453,0.010036588081637094,-0.018299833479995416,0.004627664514825381,0.002386223952751906,-0.026435273024734873,0.00019542746750678304,0.0009105516671330788,-0.012615482832751556,0.00337592658662526,0.006788669371880697,-0.015623668024374997,0.014798390039646656,0.006014700007748568,-0.014836012723976997,-0.0027222534503137767,0.007087418955533004,-0.011820154456377227,-0.0011751999833874065,-0.001843094176677091,-0.004789329445619533,0.0007304173012389869,-0.004618986432844557,-0.003902676140003734
x_vel,-0.2568491821166115,0.07069068704404063,0.30171652925624637,0.1473898906486674,0.13447113647793368,-0.003056823854689847,0.11625927060806758,0.16066591370436298,-0.06549248726065297,-0.05262412024508744,0.058759509492331795,0.19456024464357402,-0.40782449024029216,0.020501849799713735,0.01526545238749259,0.0019299872969865714,0.045203182529795286,-0.019861876945778636,0.1445384359435953,0.0928082965915539,0.14996476817670376,0.041026867266428076,0.11019875762000467,0.13756092735660078,-0.04958532678855749,-0.16115239018911046,0.13576726013828208,-0.02574975983541047,-0.23161754087357814,-0.05491868838623443,0.017807863374804295,-0.16663246994499759,-0.16702656007845076,-0.04647194232595549,-0.17493871264755514,0.06252332872035107,-0.006353280270015225,-0.19641140340661484,-0.11570606013007143,0.10092527489558947,-0.21949935093988063,-0.19647931801338375,-0.015271093444496644,-0.03125703817329275,-0.04121412500997253,-0.028396611306026078,-0.01475530058303731,-0.015881739861427522
y_vel,0.2271597534733781,-0.12537272803708996,-0.25513233873901675,0.08133173515396347,-0.1515446766752851,0.12968144234447374,-0.03572452225110109,-0.17724554201259343,0.24970952266172258,0.03478246606321405,0.01656290250785754,-0.15321584817065056,0.34877011256547097,-0.00880451309227153,0.09138938959454299,-0.12511251815092225,-0.10983056387421303,0.20498168405923375,-0.030840042986158694,0.051749084765652396,-0.04075675533092953,0.11936346647902521,-0.025108251577434102,-0.02522360851951542,0.20865467925020184,0.008676449567706258,0.004666451408891043,0.20244451486229859,0.09729808755639187,0.003239532779347519,0.035130190143759656,0.01803337156790795,0.017150447357537464,0.1901021354583396,0.10654570519907344,0.04338243526734502,0.16453398351305912,0.09079600519960623,0.22691360425602594,-0.043770444244135516,0.1510610066454264,0.1888360335940604,0.02873087959959175,-0.0011652553184159466,-0.012232484638152658,-0.0014326382466194124,-0.0024061129831337963,0.02819356102540115
z_vel,-0.36121782691658655,0.0666670079487069,0.29108150787803,-0.061850222092190064,0.23144976659722183,-0.07592967044019448,0.24566762393142422,0.3069477485557937,-0.32021146389442773,-0.14944501358332365,0.03327556154128961,0.09117754019422945,-0.2715654767842664,-0.11719809883231232,-0.2695705730323825,0.3505747524045641,0.012991658035393127,-0.28668206681254205,-0.04258665767946241,-0.06629199831902469,-0.052353951520137006,-0.13147745001481806,-0.03975415930211638,0.05620141453174903,-0.18991860492413407,0.0038442670259177785,-0.02712768741765322,-0.08512646578624171,0.04718275159857544,-0.03387247764495419,0.10288183112207834,0.009626579313381931,-0.05206018762620491,-0.14476137206066175,-0.0675494427552149,-0.10456449952585928,-0.033218597965946436,-0.15073415109342414,-0.1773636886250557,0.13503893738051148,-0.09832673915623313,-0.10057546629680586,-0.013378021913969631,0.004555510685582278,-0.0100178522465299,-0.023064202511815665,-0.00148476624767525,-0.011028361160873006
