,R-F-TaG_x,R-F-TaG_y,R-F-TaG_z,R-M-TaG_x,R-M-TaG_y,R-M-TaG_z,R-H-TaG_x,R-H-TaG_y,R-H-TaG_z,L-F-TaG_x,L-F-TaG_y,L-F-TaG_z,L-M-TaG_x,L-M-TaG_y,L-M-TaG_z,L-H-TaG_x,L-H-TaG_y,L-H-TaG_z,R-F-TaG_r,R-M-TaG_r,R-H-TaG_r,L-F-TaG_r,L-M-TaG_r,L-H-TaG_r,R-F-Vel_x,R-F-Vel_y,R-F-Vel_z,R-M-Vel_x,R-M-Vel_y,R-M-Vel_z,R-H-Vel_x,R-H-Vel_y,R-H-Vel_z,L-F-Vel_x,L-F-Vel_y,L-F-Vel_z,L-M-Vel_x,L-M-Vel_y,L-M-Vel_z,L-H-Vel_x,L-H-Vel_y,L-H-Vel_z,R-F-Vel_r,R-M-Vel_r,R-H-Vel_r,L-F-Vel_r,L-M-Vel_r,L-H-Vel_r
x_pos,0.026422133660296148,0.04275893921865685,-0.06973723562511816,0.0015865284517581322,0.03488939190275309,0.01691302461382387,0.02499182931649414,-0.046592355172502924,-0.09104875148957209,-0.019910299594538963,0.10932603838604704,-0.07189963423293985,-0.10793601950620504,0.11652286330594412,-0.0705178710574408,-0.04400176078038464,-0.04796329824252656,-0.0739541556434454,-0.022059281241832842,-0.025567740153363487,-0.055837869183283005,-0.03264768680088767,-0.014570444998675637,-0.03716344052898226,-0.03257823531904493,0.057952483779992556,-0.03500203920597704,0.013322605664527034,0.06318756126677749,-0.005528150384999374,0.01172232308501682,0.020696083793846156,0.011305916767153654,-0.05272820096442452,0.04968016925467796,-0.04409440801271692,-0.036881802434168665,-0.020921466120092463,-0.028617973524256622,0.025830213956214466,-0.045918504502452946,0.014945379825018226,-0.006802293301688111,-0.007509699177426498,-0.0024924176759757617,-0.004762136650356485,0.0040416929181969884,0.0073094829069422045
y_pos,-0.01125944117048505,-0.008197653904910378,0.04695062021239872,0.02951043434875861,-0.02902364687988611,-0.036237906352593774,-0.010839644023617541,-0.029234373634646947,0.005028336938550307,0.006754878851249649,-0.04003137939018689,0.03659316478515159,0.049965015320350144,-0.042666630424907925,0.04924591281159777,-0.037535036792836395,0.03782340749190654,-0.017485668568770808,0.004314644286478052,0.006970120774387509,0.011847494316677674,-0.00172518389728863,-0.002821764010422724,-0.011250839868569201,0.02597782358515477,-0.04211930702021042,0.032576802682851035,-0.005020559860720398,-0.04128765164571388,-0.007933214098998902,0.00692268113278008,-0.010720361895986368,-0.005899190636136287,0.03187413176008431,-0.047540415719352594,0.0403740320685076,0.025902925350895112,-0.01734933445612194,0.03357860041071593,-0.015059600773565687,0.01576179984406527,-0.002811475813084535,0.0004385112703734083,0.0025114247007366913,0.0020083723351052452,0.0025388473201777392,0.006551564261746615,0.005360701675962933
z_pos,-0.044278478831868424,-0.045183627463446334,0.0831413766311837,-0.007212523329567549,-0.021723784908544,-0.011614868583369138,-0.015137121193223248,0.04574370612960549,0.09142661615055275,0.0045406415307943215,-0.1196833370036248,0.08717632101805566,0.10291995550074162,-0.12914357838173463,0.09223398022435834,0.04458346126917849,0.03705919263459241,0.07536753064181444,0.015550796006663929,0.02017231382301415,0.05454409589712953,0.02505905216035032,0.011018985641472813,0.03367956298655153,0.03446782902546328,-0.06380792442039632,0.04008097702863056,-0.020614554202347275,-0.06890289465719879,0.010658940080743839,-0.015410135704243776,-0.02327551704493105,-0.011669175805719337,0.05219752269284718,-0.05075017841277155,0.04486963247077156,0.02225551021935986,0.02005477368202782,0.01932600057858775,-0.03329193666122295,0.043195812611635194,-0.023776603461431643,0.008125960037518499,0.008035427250728307,0.00014317877383193662,0.005388466433196561,-0.003074088600469903,-0.008714179283753289
x_vel,-0.14555738584030736,0.1992122438601555,-0.013990915525135842,0.09165786619846926,0.021069544944397695,-0.08393868159675548,-0.017448571298161856,-0.0697112885063381,-0.06181582774081232,-0.05420186312233484,0.16592021374394764,0.08711493917239965,0.07957803952431261,0.21202854067324053,0.11059821423604808,-0.10946563648548309,0.1427455501407073,-0.012764056886718236,-0.09820910909996516,-0.08906418751635221,-0.02210940439532367,-0.08974643684634988,-0.11691485540647709,-0.1256937013605244,0.15075077038434043,-0.44147071628700657,0.3277861030403519,-0.17625921829684849,-0.43878690270970533,-0.026216976402264364,-0.03971506791752533,-0.20284459010976794,-0.15315547456804104,0.14327778485356416,-0.3715110445010343,0.3686166378259706,0.06729535473468978,-0.1754415965849375,0.2027422776038999,-0.13893122217954199,-0.10779005807930914,-0.23581864120195278,-0.019322444796317385,0.015142290429613637,0.008808524081704829,0.04419300286979695,0.04639676754942007,-0.008748655081719648
y_vel,0.02600208269526964,0.03150455174241081,-0.07729098870280506,0.03236581966620623,-0.10324049950260326,0.037637396762386144,-0.12783401067408423,-0.045664755827311644,0.04938267630367933,-0.14072405341105207,0.0769532530591804,-0.13447165510455628,0.10071925657317492,-0.08716104418854714,-0.006487671099144996,0.10403513767257137,0.02854255835450654,0.019338385852097042,-0.06809421155790966,-0.05606142831199663,-0.03782937109827453,-0.028970952829663856,-0.03947180266728676,-0.10405809202368405,0.20874503914153594,0.06924232609239316,-0.09611122201132354,0.3013990358403682,0.14648859212727813,-0.23226917964673147,0.18948016934344622,0.0689669584761247,0.022053559515411318,0.14545345199012852,0.004146727969084551,-0.002305283139392191,0.2859410323168587,-0.07485421165372057,0.35058551333301097,0.20291315014703917,0.02007791215750804,0.2643852680656603,-0.018433310309844495,-0.031076433851146817,0.048128492213290935,-0.032669425550832354,0.0359297951126158,0.036815741130652474
z_vel,-0.026034845643443848,0.0067010628582419305,-0.08392396762104401,0.06682909439613156,0.0703581470756102,-0.038340160310933444,0.0809316385136012,0.026144948288021577,0.024607633342837304,-0.13593842599427292,-0.17587544280785108,-0.04477497836796885,0.03991271370302687,-0.22106752408220517,-0.03958437324046772,0.05351479458106097,-0.10832445720461435,-0.10335469770058647,0.058324976531512744,0.07129632661258718,0.06730259623146621,0.10073571914816976,0.12089520547534921,0.11765113533404015,-0.3315969286517103,0.3878700431360786,-0.18228969308815296,0.23402346283137845,0.4696981553257577,-0.09457385390161877,0.2881289010193606,0.1251981619831941,0.0065666988915520745,-0.4659963781160587,0.06526782538545789,-0.18200082564019585,-0.33598357017724034,-0.4442074705622294,-0.007232755142264623,0.4479248343114068,-0.5020612087791247,0.19626083994377072,0.017608477555794935,-0.04387927917526744,-0.016754103147953454,-0.026413889011861185,0.08197639578940169,0.08937016486599855
