Feature,Joint Angle,Correlation,P-value
R-F-TaG_y,R1A_flex,0.88970441298435,0.0
R-F-TaG_y_ma5,R1A_flex,0.8894680926897167,0.0
R-F-TaG_y_ma10,R1A_flex,0.8839651759676275,0.0
R-M-TaG_y,R2B_rot,-0.877279990787541,0.0
R-M-TaG_y_ma5,R2B_rot,-0.8713652521609297,0.0
R-M-TaG_y_ma10,R2B_rot,-0.8482859142935657,0.0
R-F-TaG_y,R1A_rot,0.8468156318132359,0.0
R-F-TaG_y_ma5,R1A_rot,0.8437326413467513,0.0
R-F-TaG_y_ma10,R1A_rot,0.8367743295083997,0.0
L-M-TaG_y,L2B_rot,0.8322213828013223,0.0
L-M-TaG_y_ma5,L2B_rot,0.8291070810379388,0.0
L-M-TaG_y_ma10,L2B_rot,0.8233728258978372,0.0
L-F-TaG_z,L1B_rot,0.8173278560444304,0.0
L-M-TaG_y,L2C_rot,-0.8161319913532276,0.0
L-F-TaG_z,L1B_flex,-0.8158729073071064,0.0
L-M-TaG_y_ma5,L2C_rot,-0.8126292663478768,0.0
R-H-TaG_x_ma5,R3A_rot,0.8097682579585153,0.0
R-F-TaG_y_ma20,R1A_flex,0.8089731299470282,0.0
R-H-TaG_x,R3A_rot,0.8073005461801954,0.0
R-H-TaG_x_ma10,R3A_rot,0.8066403959948054,0.0
L-M-TaG_y_ma10,L2C_rot,-0.8056782737876461,0.0
L-F-TaG_z_ma5,L1B_flex,-0.8026591515738134,0.0
L-F-TaG_z_ma5,L1B_rot,0.8022829622121697,0.0
L-H-TaG_y_ma10,L3A_rot,-0.8011015140893777,0.0
L-H-TaG_z,L3B_flex,-0.7979007405857254,0.0
L-H-TaG_y_ma5,L3A_rot,-0.7976540974090311,0.0
L-H-TaG_y,L3A_rot,-0.7938754837894564,0.0
L-H-TaG_z_ma5,L3B_flex,-0.7928812021405724,0.0
L-H-TaG_x,L3C_rot,0.7927510348510965,0.0
L-H-TaG_x_ma5,L3C_rot,0.7904621148218195,0.0
L-M-TaG_y_ma20,L2B_rot,0.787308062144453,0.0
L-H-TaG_x_ma10,L3C_rot,0.7812225296164869,0.0
L-M-TaG_z,L2B_flex,-0.7809353442178373,0.0
R-M-TaG_y_ma20,R2B_rot,-0.7756174116225777,0.0
L-M-TaG_z_ma5,L2B_flex,-0.775407452885601,0.0
R-M-TaG_y_ma10,R2C_rot,0.7738751863220782,0.0
L-H-TaG_z_ma10,L3B_flex,-0.7732980054693444,0.0
L-H-TaG_y_ma20,L3A_rot,-0.7699305940780934,0.0
L-M-TaG_y_ma20,L2C_rot,-0.7668858276195548,0.0
R-M-TaG_y_ma5,R2C_rot,0.7657094966391889,0.0
R-F-TaG_y_ma20,R1A_rot,0.764896344547198,0.0
R-M-TaG_y,R2C_rot,0.7617468463727649,0.0
L-F-TaG_x,L1C_rot,-0.7557657360853136,0.0
L-F-TaG_x_ma5,L1C_rot,-0.7512711720052392,0.0
R-H-TaG_x,R3C_rot,0.7502344276922713,0.0
L-H-TaG_z_ma20,L3B_flex,-0.7496554666605922,0.0
L-M-TaG_z_ma10,L2B_flex,-0.745609414888507,0.0
R-H-TaG_x_ma5,R3C_rot,0.7436484692020704,0.0
R-H-TaG_x_ma20,R3A_rot,0.7418838545712401,0.0
L-F-TaG_z_ma10,L1B_flex,-0.741167020363216,0.0
R-F-TaG_z,R1B_flex,-0.7401888194584019,0.0
R-M-TaG_y_ma20,R2C_rot,0.7391861477164104,0.0
R-F-TaG_z_ma5,R1B_flex,-0.7344749065452122,0.0
L-F-TaG_x_ma10,L1C_rot,-0.7301751560905391,0.0
L-F-TaG_z_ma10,L1B_rot,0.7290450282188307,0.0
L-F-TaG_y_ma5,L1C_flex,0.7265262578656444,0.0
L-F-TaG_y_ma10,L1C_flex,0.726135154413754,0.0
L-M-TaG_y_ma5,L2A_rot,-0.7259655960458538,0.0
L-M-TaG_y,L2A_rot,-0.7252908145966674,0.0
L-F-TaG_y,L1C_flex,0.724357403841086,0.0
L-H-TaG_x_ma20,L3C_rot,0.7222450968091029,0.0
L-M-TaG_y_ma10,L2A_rot,-0.719422051829568,0.0
R-H-TaG_x_ma10,R3C_rot,0.71438216452498,0.0
L-M-TaG_y_ma20,L2A_rot,-0.7106430545388155,0.0
L-M-TaG_z_ma20,L2B_flex,-0.7049726447051389,0.0
R-M-TaG_x,R2B_rot,-0.6945841590007877,0.0
L-H-TaG_x_ma5,L3B_rot,-0.6936252638605646,0.0
R-F-TaG_x,R1A_rot,-0.6915091906585022,0.0
L-H-TaG_y,L3B_rot,0.6908809247453473,0.0
L-H-TaG_x_ma10,L3B_rot,-0.6890990676524754,0.0
R-M-TaG_x_ma5,R2B_rot,-0.6889863416569074,0.0
R-F-TaG_z_ma10,R1B_flex,-0.6877176491111583,0.0
L-H-TaG_x,L3B_rot,-0.6865611019921027,0.0
