Feature,Joint Angle,Correlation
L-F-TaG_x,L1A_abduct,-0.40885216082732856
L-M-TaG_r,R1B_rot,0.40798392839455044
R-M-TaG_x,R2B_flex,0.4072610197976582
L-F-TaG_z,L1A_flex,-0.40689482486976714
L-H-TaG_z,L3A_flex,-0.4063753629442532
x_vel_lag_plus_1,L1B_rot,0.40579008142360573
xy_velocity,L2B_flex,-0.40572469202715217
x_vel_lag_plus_3,L1B_rot,0.40542169443336057
R-M-TaG_r,R1B_rot,0.40508065819771966
x_vel_lag_plus_2,L1B_rot,0.4047790073843097
x_vel_lag_minus_1,L2B_flex,-0.40341093634742325
velocity_magnitude,L2B_flex,-0.39853606651550677
R-F-TaG_y,R1B_flex,0.3982762095875889
L-M-TaG_x,L2A_rot,0.3977958007874796
R-F-TaG_z,R1A_flex,-0.3970317886593765
x_vel_lag_minus_3,L1B_flex,-0.3966335407552524
xy_velocity,L1B_rot,0.39648599362876413
L-F-TaG_y,L1B_rot,0.3958913195356368
x_vel_lag_minus_2,L2B_flex,-0.3954370711631012
R-M-TaG_x,R2A_flex,-0.3946455287270822
xz_velocity,L2B_flex,-0.3932223310308586
R-H-TaG_r,R1B_rot,0.39125087927859015
x_vel_lag_minus_3,L2B_flex,-0.39002197959331336
x_vel_lag_minus_5,L2B_flex,-0.38819144450258936
x_vel_lag_plus_20,L1B_flex,-0.3880244125879871
R-H-TaG_z,L3A_flex,-0.3877564018035557
L-F-TaG_z,L1D_flex,-0.38638188116114097
L-M-TaG_z,L1B_rot,0.3845266602953123
L-F-TaG_r,R1B_rot,0.38299504194771816
x_vel_lag_minus_2,L1B_flex,-0.38172431132560797
L-H-TaG_r,R1B_rot,0.37814422915437557
x_vel_lag_plus_20,L1B_rot,0.3780659574726456
x_vel_ma10,L1B_flex,-0.3766885608543143
L-M-TaG_z,L2C_flex,-0.3765876284016036
R-H-TaG_y,R2A_flex,0.37629448767270807
R-H-TaG_z,R3B_rot,0.3758040465335236
L-F-TaG_r,L2B_flex,0.3754059507182808
R-H-TaG_x,R3D_flex,0.3747176796362884
L-M-TaG_z,L3B_flex,-0.37217916874731105
L-H-TaG_z,L3C_flex,-0.3710152367642643
L-H-TaG_y,L1A_abduct,0.3691316116580022
L-F-TaG_r,L1B_flex,0.368832079928448
L-F-TaG_z,R1B_flex,-0.3682684570304643
x_vel_lag_minus_1,L1B_flex,-0.3661670985731478
R-F-TaG_z,L1B_rot,0.3656794817360015
R-M-TaG_z,R2A_flex,-0.3651522974183606
L-M-TaG_r,R1B_flex,0.36158923746399957
R-H-TaG_z,R3C_flex,-0.3591764884771821
velocity_magnitude,L1B_rot,0.35756578380833026
x_vel_ma5,L1B_flex,-0.3566775539173257
L-F-TaG_r,L2A_rot,-0.3562303267892706
L-H-TaG_y,L2A_abduct,0.35564961537735096
xz_velocity,L1B_rot,0.35510150408331764
L-H-TaG_x,L1A_flex,0.35030152377264345
L-H-TaG_y,L3A_flex,0.3496379845646499
xy_position,L1B_flex,-0.3495566442730991
xz_position,L1B_flex,-0.3495566442730991
xy_velocity,L1B_flex,-0.3481444170618314
R-M-TaG_r,R1B_flex,0.3466110458651436
R-H-TaG_z,R3A_flex,-0.34590142924473666
R-F-TaG_z,R1D_flex,-0.3410679298832989
position_magnitude,L2B_flex,-0.34008098478821797
z_acc,R1A_rot,-0.3382283455893171
L-F-TaG_x,R2A_flex,-0.3377696025047413
x_vel_lag_plus_10,L1B_flex,-0.3372276695288062
x_vel_lag_plus_1,L1B_flex,-0.3371546380040247
z_acc,R1C_rot,-0.33566680314573694
R-F-Vel_x,R1B_rot,-0.3326039542865757
L-M-TaG_r,L2B_flex,0.33255301705645557
R-F-TaG_x,R1A_flex,0.33119972125185343
R-H-TaG_x,L1B_rot,-0.3308747444465353
R-H-TaG_r,R1B_flex,0.3302205871545904
R-F-TaG_r,R3B_rot,-0.33017650316120833
z_vel_lag_plus_10,L2B_flex,-0.3283192089543052
L-M-TaG_r,R3B_rot,-0.327281771133549
L-F-TaG_z,R1B_rot,-0.3269023901975134
x_vel_lag_plus_2,L1B_flex,-0.3257910732112067
L-F-TaG_r,L1B_rot,-0.3254979659286081
L-M-TaG_x,L2C_flex,-0.3242496891220761
R-H-TaG_x,L2C_flex,0.3233411299046355
z_vel_lag_plus_5,L2B_flex,-0.32317030486291104
L-M-TaG_r,R3C_flex,0.3210013604629421
L-F-TaG_r,R1B_flex,0.3196897790109994
z_vel_lag_plus_3,L2B_flex,-0.31826461960035013
L-H-TaG_y,R2A_abduct,0.31755199460633404
x_vel_lag_plus_3,L1B_flex,-0.31746143781586056
z_vel_ma20,L2B_flex,-0.3166528643142927
xz_velocity,L1B_flex,-0.31621150367275247
R-F-TaG_r,R3C_flex,0.3159326487245375
velocity_magnitude,L1B_flex,-0.3152504163658244
z_vel_lag_plus_2,L2B_flex,-0.3149435427455969
L-H-TaG_x,L1B_flex,0.3131118014738842
xy_position,L1B_rot,0.31274842644041206
xz_position,L1B_rot,0.31274842644041206
z_vel_lag_plus_20,L2B_flex,-0.31202172055409116
R-M-TaG_r,L2A_rot,-0.31148617101569454
x_vel_lag_plus_5,L1B_flex,-0.3110917536415732
z_vel_lag_plus_1,L2B_flex,-0.31098693993941934
L-H-TaG_y,R1A_abduct,0.3109798905505074
R-F-Vel_x,R1B_flex,-0.30992715435453705
L-H-TaG_r,R1B_flex,0.30935028432212547
L-F-TaG_z,L2A_flex,-0.3091736866734594
R-M-TaG_r,R3B_rot,-0.3085461599455203
R-H-TaG_r,L2A_rot,-0.30781028378897396
z_vel_ma5,L2B_flex,-0.3073367525288126
z_vel_ma10,L2B_flex,-0.30729437535074455
R-F-TaG_z,L2A_rot,0.30729297369813385
L-M-TaG_r,R1C_flex,0.306246015952602
R-F-TaG_z,L1B_flex,-0.30580728651589906
R-F-TaG_z,R1A_rot,-0.3051751048837211
R-H-TaG_x,L1B_flex,0.3042120585379147
L-H-TaG_x,L3C_flex,0.3019510185534992
R-M-TaG_y,R2A_flex,0.30179076823164513
L-H-TaG_z,L1A_abduct,-0.30132750300363187
z_vel_lag_minus_1,L2B_flex,-0.30066496473158894
R-F-Vel_z,R1C_flex,-0.300503469196057
y_vel_lag_minus_10,R2A_rot,0.30025324823899685
