,L1A_abduct,L1A_flex,L1A_rot,L1B_flex,L1B_rot,L1C_flex,L1C_rot,L1D_flex,L2A_abduct,L2A_flex,L2A_rot,L2B_flex,L2B_rot,L2C_flex,L2C_rot,L2D_flex,L3A_abduct,L3A_flex,L3A_rot,L3B_flex,L3B_rot,L3C_flex,L3C_rot,L3D_flex,R1A_abduct,R1A_flex,R1A_rot,R1B_flex,R1B_rot,R1C_flex,R1C_rot,R1D_flex,R2A_abduct,R2A_flex,R2A_rot,R2B_flex,R2B_rot,R2C_flex,R2C_rot,R2D_flex,R3A_abduct,R3A_flex,R3A_rot,R3B_flex,R3B_rot,R3C_flex,R3C_rot,R3D_flex
z_pos_ma10,-0.020786730280999716,0.027117393564177958,-0.06342526367352395,0.01671542892817082,-0.017418462076415453,0.08109910815705387,-0.02135429996699408,0.13177577027755027,-0.01419605161191491,0.04098040502003427,-0.013770278482514811,-0.07277762804800303,0.017161147170878133,-0.05819219567305777,0.0204092533415496,-0.0032530912167781957,-0.017937736615005227,0.11632249523205392,-0.03839630404052869,-0.05204668874138171,0.016694273224586925,-0.001771803905190559,-0.04592435890495082,0.06990779686395596,-0.010805155338675702,0.015630867063614346,0.07552645278738636,0.0468125116170705,0.07018326960085994,0.10797574594069118,0.021364509099300495,0.1674122964404455,-0.0054740394611897825,0.0011389718696309366,0.07187470237289094,0.035951655919085085,0.019371385979841803,0.09915776346698821,0.0010908511270210637,0.13250633979216214,-0.009196496764884493,-0.016246565254040272,-0.06643130609574176,-0.004811523404452169,0.0045761470935763,0.013574611628693561,0.031549207799709246,0.0646640608993791
x_vel_ma20,0.1433322223422224,-0.08149395004924656,0.04260664219034447,-0.4097835215101525,0.4598978461072991,-0.14941665247611513,-0.10585717597574658,-0.011828284375364284,0.12418117302334168,-0.16590382214091426,0.16487930041514912,-0.46802926302425246,0.09419462466282101,-0.09354096762220987,-0.2042237506835588,0.15806102188965795,-0.03096899562493293,0.024875154527667434,-0.1283885393942772,-0.2155937952729164,-0.1632180761542729,-0.052366488972904746,-0.13072537026231165,0.25131288410675423,0.08098127420907061,0.02560919611782617,-0.0220751840782918,-0.18524819021902222,-0.27994907408245606,-0.10679755545050622,0.16227005567667205,0.12315263393176891,0.1187587823247052,0.09436989725085558,-0.11138853583312838,-0.15813970473317823,0.12825566811089162,-0.1302973133935771,0.09268779805846043,0.17718405948015664,-0.22928230663061716,0.0069827780314696015,-0.03041763451370106,-0.07180365020854708,0.1557668273223821,-0.11586739601189806,0.0685539583951007,0.16612730504382922
x_pos_ma20,-0.007698869919717307,0.012425843408084308,-0.04962684630636068,-0.015473465584540115,0.01345087793816704,0.05326500998120143,-0.018929576498097532,0.1083431182064587,-0.007790029015172628,0.037404912355583235,0.002126951570498362,-0.09272418141815734,0.013944900657390458,-0.0602085390541676,0.02908635272961935,0.00922667971138881,-0.024437723948741226,0.1204418847943189,-0.05163488462748481,-0.06120630565346593,0.017845315550998157,0.005109410831949456,-0.06164074907574664,0.07676542632879925,0.006834231338119756,-0.0030723337606083684,0.04997995003064849,0.01837983256333304,0.04462096093146949,0.08161850040523803,0.01709576691156037,0.14626441424911357,0.006046251725990405,-0.0235456819844799,0.04065867192817288,0.02974265550378112,0.04549994763824437,0.07829076445996427,-0.002519792703114872,0.1325781709349384,-0.014824465350929896,-0.0363677936754245,-0.07073149668677294,0.0013926342948243475,0.02156481452515683,-0.004548868572216497,0.019425736706898584,0.050145981737210056
y_vel_ma20,0.05399741205274696,0.033248013604255874,0.07555443316373436,-0.044932628594267235,0.026970007761331,-0.00782600321783899,0.1334789522083272,-0.08138395031984524,0.059025009398941744,-0.07471269774963557,0.05221819145514467,-0.10761372498315167,-0.03725593496616027,0.0023110081718144726,0.06985462407782878,0.01718271684213653,-0.05706494226489166,0.08514064986437844,0.008766240699695364,0.028173214234340917,-0.005276428578542061,0.08029411571889537,0.13400365747315918,0.09635600830624048,0.06189939682627176,0.02144615969970598,0.2286357182371462,-0.006941733534664604,-0.026876842080661538,-0.015909061776865286,0.18475398735955548,-0.015958741627841142,0.09142288836019354,-0.009372456709550891,0.2870378941012508,0.18553090284168625,-0.11243024028794434,0.21843320345332257,0.12457901521387889,0.12008853958377579,-0.08932571746461378,-0.0022420477324663376,0.08363880312782032,0.15171002415882975,-0.05210150712697569,0.13970029080070653,0.028293453963890682,0.07333143385171882
y_pos_ma20,-0.019541498386910622,0.021223396097848304,-0.06015105062150522,0.008484581076924345,-0.018545877738210044,0.06434592506600144,-0.04038384787657877,0.08849939195673862,-0.021792932263094297,0.04144717164419598,-0.04165608565007385,-0.0596735611544845,0.021999826853751455,-0.04852201526885408,0.019795447719296925,-0.015101470133896181,-0.01612767725770988,0.08823583192452135,-0.04008315117953176,-0.050407088267508386,-0.008714022300099478,-0.012099808049706291,-0.03196012376378726,0.03843839064854545,-0.006009129149677899,0.0031330800564304474,0.09490369365907216,0.04792204211656009,0.0653339847361911,0.09987065941237994,0.020459090152480028,0.10669220467710412,-0.014331854433411397,0.026910024382891105,0.07444626832655528,0.06349410884145701,-0.02240166722774305,0.107504922663681,0.020993993581293467,0.10098908256704488,-0.04153507644500675,0.032961117509156215,-0.04737083892494964,0.0190270933755157,-0.03380812455167825,0.049365048622681255,0.05129908278353202,0.06707147257287518
z_vel_ma20,0.07425593825728694,-0.09611499071042374,0.11080362774900389,-0.20918666712585482,0.22809876805996881,-0.08017182616479795,-0.006524090912915956,-0.022728640677041306,-0.027947144700261595,-0.12176694548944826,0.13078882069599687,-0.3166528643142927,0.03189777467013316,-0.0788816546277282,-0.09876885258544561,0.09920584923747125,0.01938314252043198,-0.09745824699061721,-0.1298375025461963,-0.23215530369190077,-0.25281585298083065,-0.1944298617775811,0.03469592679074952,0.08322454993258656,-0.04963718834246301,0.027965049435007487,0.11441865939169284,-0.021083607692807184,-0.11836347411311751,0.011825058961380683,0.13973115286903995,0.09976667170853351,-0.07449288581811814,0.1562283460474463,0.06765295419823039,0.009035531706661252,-0.027254553186436232,0.012578358964375572,0.09234051870214981,0.1061625594695991,-0.11793372011768663,0.013486258553408115,-0.009970469486044185,-0.17464641494814226,0.09908253027811893,-0.12415318081778155,-0.00483247559345924,0.06826025621863002
z_pos_ma20,-0.019928134702404662,0.0257360957701964,-0.06369588593889099,0.01601550435038299,-0.01743799119524848,0.08082136934682238,-0.022153087234907,0.1317314326435567,-0.013949745254776933,0.04159976765491468,-0.014790958817867775,-0.0725433544849904,0.018491971234502674,-0.05911198609302626,0.02008692599990586,-0.005215889721927805,-0.01793756580303353,0.11524985195894281,-0.04185111079744622,-0.05331902782452294,0.0159827180254717,-0.002528137770524684,-0.0466537197685099,0.06939527650470341,-0.009915733255500481,0.01473028193632051,0.07164303599329491,0.046724622951894244,0.07181033196636062,0.10866275036767814,0.017775308772609848,0.16700986357373393,-0.004032313265331813,-0.0019701561864950484,0.06998910624926954,0.03852387356575888,0.02204225320474279,0.10068568519133228,-0.0011297462778202105,0.1324635404636698,-0.007353916074037119,-0.020400534863413936,-0.06931881039831181,-0.003528682692944062,0.008503928244435369,0.01197962172784294,0.028815552990089997,0.0620773585772951
velocity_magnitude,0.13438947063516507,-0.09355795419998986,0.09266550009486971,-0.3152504163658244,0.35756578380833026,-0.14068521332909156,-0.06628236130923615,-0.051600456809768144,0.08753048696947519,-0.20535476157634008,0.20037736247097726,-0.39853606651550677,0.020268073560812908,-0.12346503344657225,-0.14546481035545317,0.09939494264097183,0.03223798135177362,-0.06838161149156596,-0.17653772062601367,-0.23190399225736444,-0.2506086889705487,-0.16636978664999194,-0.05437086066046554,0.1569942343892476,0.04378906045548484,0.0024695606184934526,0.040266241720491244,-0.11424707828591826,-0.19983508447151302,-0.070440112853672,0.14408777075430704,0.07504731221407915,0.03969845692607025,0.1268520655157026,-0.006739084047115663,-0.03574672998082533,0.062211297686681696,-0.03417962265932028,0.08329244665178784,0.13860937110622987,-0.16015668334640243,-0.03388491690374325,-0.03753650396177686,-0.16067017161715252,0.15630859781467904,-0.1530840988466898,-0.011851744811917293,0.09098666371898419
position_magnitude,0.12061737437902635,-0.14603431694895647,0.08468073822668909,-0.2580591239281864,0.24331093554223873,-0.06763499503989588,-0.021935659643962806,-0.002303958684299807,0.01927320602104564,-0.14501366122815057,0.14164650451121713,-0.34008098478821797,0.06051378537025485,-0.09075218584147351,-0.1313890862635932,0.06096451193690472,-0.03866714608802604,-0.08302133649551229,-0.17518746373209515,-0.26722318765257375,-0.250655337431367,-0.19552679826724,-0.006549584535537095,0.08583488174994523,0.03323380407669381,-0.04532394797000436,0.029431827588366693,-0.08558993213397606,-0.1155710357770383,-0.04005464651850339,0.11218033525043257,0.10244899038296579,0.005296979599969892,0.09166133812773687,0.007574919918307753,0.06085259002410888,0.1216356386944807,0.025063259305364762,-0.014766679013829987,0.12419239203897921,-0.09087165520058746,-0.01613952749902371,0.00430190192213488,-0.09859568254581318,0.13797885646927424,-0.107294565569449,-0.010348657126503237,0.08482560681109315
xy_velocity,0.14458406437476456,-0.07479159271606561,0.05427329387427261,-0.3481444170618314,0.39648599362876413,-0.1457942564682102,-0.0964737201437365,-0.04474224196281026,0.13621475448309542,-0.21990949526252013,0.2034610058520351,-0.40572469202715217,0.023639467170690657,-0.11126537409968858,-0.1565684314244297,0.12315542385900333,0.0019494981900061437,-0.01434107287960546,-0.18050966182486045,-0.21093197701055919,-0.1930956037406802,-0.09291710768026337,-0.10507118538332719,0.22087332969297796,0.07771440832486236,0.010998555568432534,-0.004102042635071088,-0.14367011652223738,-0.2194484532960831,-0.09060784172588561,0.1392788568291338,0.08856509157740335,0.10123049187343075,0.10009951693270197,-0.03752358655402017,-0.051567934249460254,0.11251175166227709,-0.04812835572769555,0.07600018671626668,0.17030262077210415,-0.18558982571236446,-0.02858873687998217,-0.03182969296133401,-0.10591476090422865,0.1560359106164065,-0.11723414957459422,0.02023031698583866,0.12716119299959894
